method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49,tr_V50,pval50,tr_V51,pval51,tr_V52,pval52,tr_V53,pval53,tr_V54,pval54,tr_V55,pval55,tr_V56,pval56,tr_V57,pval57,tr_V58,pval58,tr_V59,pval59,tr_V60,pval60,tr_V61,pval61,tr_V62,pval62,tr_V63,pval63,tr_V64,pval64,tr_V65,pval65,tr_V66,pval66,tr_V67,pval67,tr_V68,pval68,tr_V69,pval69,tr_V70,pval70,tr_V71,pval71,tr_V72,pval72,tr_V73,pval73,tr_V74,pval74,tr_V75,pval75,tr_V76,pval76,tr_V77,pval77,tr_V78,pval78,tr_V79,pval79,tr_V80,pval80,tr_V81,pval81,tr_V82,pval82,tr_V83,pval83,tr_V84,pval84,tr_V85,pval85,tr_V86,pval86,tr_V87,pval87,tr_V88,pval88,tr_V89,pval89,tr_V90,pval90,tr_V91,pval91,tr_V92,pval92,tr_V93,pval93,tr_V94,pval94,tr_V95,pval95,tr_V96,pval96,tr_V97,pval97,tr_V98,pval98,tr_V99,pval99,tr_V100,pval100,tr_V101,pval101,tr_V102,pval102,tr_V103,pval103,tr_V104,pval104,tr_V105,pval105,tr_V106,pval106,tr_V107,pval107,tr_V108,pval108,tr_V109,pval109,tr_V110,pval110,tr_V111,pval111,tr_V112,pval112,tr_V113,pval113,tr_V114,pval114,tr_V115,pval115,tr_V116,pval116,tr_V117,pval117,tr_V118,pval118,tr_V119,pval119,tr_V120,pval120,tr_V121,pval121,tr_V122,pval122,tr_V123,pval123,tr_V124,pval124,tr_V125,pval125,tr_V126,pval126,tr_V127,pval127,tr_V128,pval128,tr_V129,pval129,tr_V130,pval130,tr_V131,pval131,tr_V132,pval132,tr_V133,pval133,tr_V134,pval134,tr_V135,pval135,tr_V136,pval136,tr_V137,pval137,tr_V138,pval138,tr_V139,pval139,tr_V140,pval140,tr_V141,pval141,tr_V142,pval142,tr_V143,pval143,tr_V144,pval144,tr_V145,pval145,tr_V146,pval146,tr_V147,pval147,tr_V148,pval148,tr_V149,pval149,tr_V150,pval150,tr_V151,pval151,tr_V152,pval152,tr_V153,pval153,tr_V154,pval154,tr_V155,pval155,tr_V156,pval156,tr_V157,pval157,tr_V158,pval158,tr_V159,pval159,tr_V160,pval160,tr_V161,pval161,tr_V162,pval162,tr_V163,pval163,tr_V164,pval164,tr_V165,pval165,tr_V166,pval166,tr_V167,pval167,tr_V168,pval168,tr_V169,pval169,tr_V170,pval170,tr_V171,pval171,tr_V172,pval172,tr_V173,pval173,tr_V174,pval174,tr_V175,pval175,tr_V176,pval176,tr_V177,pval177,tr_V178,pval178,tr_V179,pval179,tr_V180,pval180,tr_V181,pval181,tr_V182,pval182,tr_V183,pval183,tr_V184,pval184,tr_V185,pval185,tr_V186,pval186,tr_V187,pval187,tr_V188,pval188,tr_V189,pval189,tr_V190,pval190,tr_V191,pval191,tr_V192,pval192,tr_V193,pval193,tr_V194,pval194,tr_V195,pval195,tr_V196,pval196,tr_V197,pval197,tr_V198,pval198,tr_V199,pval199
LOCO-W,300,10896.572533369064,0.9699894128159381,0.0,0.9999999995442759,0.0,0.04498396089571011,0.0,0.9908750775491457,0.0,0.99993456737432,0.0,1.099120794378905e-14,0.0,0.006819757165533846,0.0,1.0,1.0,9.756194379517691e-05,0.0,0.9999863455089016,0.0,0.35850242706543,1.0,5.3297366520155265e-12,1.0,0.9998462903808948,0.0,0.18974009745488962,0.0,8.296987233924469e-07,1.0,3.5473712856060047e-10,0.0,0.015542801283339625,0.0,0.0,0.0,6.725325740752908e-09,0.0,0.0,1.0,0.9999999993257418,1.0,4.440892098500626e-16,0.0,0.0,0.0,0.999986604118017,1.0,0.8891575517726262,0.0,0.008999898956397856,0.0,0.9999999999995856,0.0,1.0,0.0,1.189403783241616e-07,0.0,0.9999551600211979,0.0,0.8815074515234864,0.0,0.0003058404831332018,1.0,0.7820520386946503,0.0,0.6180526176590441,0.0,9.718164051264466e-10,0.0,7.229497001048912e-10,0.0,0.5512730052196567,0.0,0.0,0.0,1.0,0.0,5.8764964212421056e-05,0.0,0.0,0.0,0.9644904772265542,0.0,0.9999657018540716,0.0,0.9999999999999983,0.0,0.9999999999999986,0.0,0.9703160999676074,0.0,0.9998883437021798,0.0,1.0,0.0,0.00253739590897728,0.0,0.9999072051514617,1.0,0.0016295238581345295,1.0,0.9988392622136923,0.0,0.8205461228118802,0.0,5.038199524243225e-09,0.0,6.94999613415348e-14,1.0,4.657385588302532e-13,0.0,1.0,0.0,1.8999954343179581e-07,1.0,3.113930767684181e-07,0.0,0.9999999998834229,0.0,1.0,0.0,0.6439917402439576,0.0,1.5765166949677223e-13,1.0,2.7270241620414026e-10,1.0,0.9999999999999988,1.0,0.08917571569359128,0.0,1.0,0.0,0.0,0.0,0.9234364342490198,1.0,0.9949977809641329,0.0,0.5703717525961886,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.5793590313915047e-12,0.0,0.9911439858095956,0.0,1.0,0.0,0.9892985362470966,1.0,1.1102230246251565e-15,0.0,0.9999999997131539,0.0,0.05243210777715801,0.0,1.0,0.0,0.9158764442818992,0.0,0.9999985394278385,1.0,1.87474962998202e-07,0.0,1.0,1.0,4.287434185457073e-09,1.0,0.9859455996355134,0.0,0.9999999993694896,0.0,0.9989261918490189,1.0,1.0,0.0,0.0,0.0,0.7571692683171953,0.0,3.4392885263079265e-06,0.0,0.9946734790879367,0.0,0.9999999967532814,0.0,0.9999940395466259,1.0,0.12738827152952736,0.0,1.4432899320127035e-15,1.0,0.9571756738875089,0.0,0.0003446814334964188,1.0,0.9999935344789942,0.0,0.002777675363938026,0.0,0.0,0.0,6.289783138768712e-10,0.0,0.004337589077421322,0.0,0.0868613875786054,0.0,0.23319589347644565,1.0,0.7661377585728988,0.0,0.5349004076361226,0.0,0.15806439183668608,0.0,0.9946010505575361,0.0,0.000514973730656787,0.0,9.431740580323478e-06,1.0,0.9975829491010937,1.0,0.0008880135000906009,0.0,0.0,0.0,2.5471846853974967e-12,0.0,2.220446049250313e-16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0008359441461153194,0.0,0.968408184422563,0.0,0.2609669219155585,0.0,1.0,1.0,0.021737678520363235,0.0,0.0,0.0,1.0,0.0,3.0850289801875874e-05,0.0,0.0,1.0,0.028474796703166882,1.0,0.7884335848729143,0.0,0.0,0.0,0.0009154271866294028,0.0,1.0,0.0,1.0381392345770735e-07,1.0,0.9995061764903037,0.0,0.006109145427549145,0.0,8.221019280330033e-06,0.0,1.0,0.0,0.017313497274820122,0.0,3.9999822643022043e-07,0.0,0.9999449143266277,1.0,0.9999999312868539,0.0,0.9999985625367531,0.0,0.2084771051324994,1.0,0.9999999999999865,0.0,0.0,0.0,0.9999999999999996,0.0,0.46946883897235847,0.0,1.5953696252957172e-08,0.0,0.7943339074021357,1.0,0.9999937026930391,0.0,0.9958211520751256,1.0,0.9999231536144045,0.0,0.009964930606930378,0.0,1.3844297300780184e-06,0.0,0.2729317066937508,1.0,0.9613131326899128,0.0,0.3247368452334367,1.0,0.9999999999992087,1.0,0.1772559221992629,1.0,3.177918943442215e-06,0.0,0.16237243312192273,0.0,6.630037263644084e-08,1.0,0.00045205582023932767,0.0,0.9999999974126693,0.0,8.314460231417797e-11,0.0,0.9991525452459382,0.0,5.171418848703979e-13,0.0,0.3086259422444174,0.0,0.043837579964710494,0.0,0.7149553342219697,0.0,0.07567060898681788,1.0,0.004222241965009976,0.0,3.830889764677714e-05,0.0,0.9999981090649507,0.0,0.9296927519061784,0.0,0.9999999999999998,0.0,1.0076550538418161e-07,0.0,0.0,0.0,0.0011347436505307895,1.0,0.0002887792217045604,0.0,3.9690473130349346e-13,1.0,1.0,0.0,0.7943576827231692,1.0,0.04792003235284792,0.0,0.9998436841508821,0.0,0.9999998798579365,0.0,0.62410887145483,1.0,0.0023158530512702447,0.0,0.9999229394982457,1.0,0.002151873840232632,1.0,0.43770429541282563,0.0,0.0,0.0,2.488215284035533e-06,0.0,2.7644553313166398e-14,0.0,0.9999999998500286,0.0,0.05557779750523173,0.0,1.4907827705634702e-07
CPI,300,118.39700937271118,0.9699894128159381,0.0,0.5774559151420301,0.0,0.8698179479585342,0.0,0.48241600736445744,0.0,0.6935020575378686,0.0,0.09844911278994067,0.0,0.8544906333804276,0.0,0.4610983706295999,1.0,4.655005941354154e-06,0.0,0.898168311305674,0.0,0.22195149230579847,1.0,0.32341205472730983,1.0,0.5640321000389932,0.0,0.08273322864873456,0.0,0.3268490926773069,1.0,0.004296455797833841,0.0,0.4433151692385479,0.0,0.7132220225912387,0.0,0.37342172313899885,0.0,0.5800165067938764,1.0,0.02043181540681236,1.0,0.0011157694386562055,0.0,0.01498401198052425,0.0,0.049968913015811245,1.0,0.6145879034280339,0.0,0.5140120550056578,0.0,0.6059539584942727,0.0,0.7360565891820385,0.0,0.5989406427898699,0.0,0.489168276834359,0.0,0.1630681266998334,0.0,0.3753275377288109,1.0,0.2449728900815541,0.0,0.30989026499195427,0.0,0.6162204922055814,0.0,0.3858148795651047,0.0,0.35357055972676765,0.0,0.9009909539917325,0.0,0.38538897479968603,0.0,0.3448029121788486,0.0,0.8692406666006007,0.0,0.8341366076191367,0.0,0.4221530593477928,0.0,0.9199132263505937,0.0,0.8140011813443355,0.0,0.7548983796925954,0.0,0.3283576330058514,0.0,0.38707182690432373,0.0,0.13103013603078323,0.0,0.2630579183935862,1.0,0.07463992836897722,1.0,0.7530385132181916,0.0,0.483852073618676,0.0,0.5708154472964595,0.0,0.8740848751569215,1.0,2.7088174903821193e-11,0.0,0.7964147591524356,0.0,0.326840588298206,1.0,8.03985348227512e-10,0.0,0.11975153011413447,0.0,0.21239417245436815,0.0,0.06804371483392051,0.0,0.7836363680319709,1.0,0.003668389178423895,1.0,0.019081504950518323,1.0,1.7220592317442935e-05,0.0,0.40657065028675715,0.0,0.6632359504079813,0.0,0.1782658162697019,1.0,0.08296262757905698,0.0,0.17108244358655655,0.0,0.19566234438477637,1.0,0.059518872215465334,0.0,0.08195134576452057,1.0,8.339343163591246e-05,0.0,0.47942292979143925,0.0,0.7380510655488547,0.0,0.9860567811634198,1.0,6.92173250701019e-09,0.0,0.556634069614378,0.0,0.6563098012045502,0.0,0.3668571437455861,0.0,0.42040587012232594,0.0,0.7535564164709987,1.0,5.106283810778986e-07,0.0,0.7558335793785553,1.0,0.00282395769559711,1.0,0.2058594559385747,0.0,0.3625401378029638,0.0,0.7228286175561013,1.0,0.0006427494837162687,0.0,0.564596961591576,0.0,0.6447629613856827,0.0,0.6274631390445489,0.0,0.22287182791992022,0.0,0.909853637547415,0.0,0.7995170323523078,1.0,0.000957863769376547,0.0,0.7473865141731074,1.0,0.06769059968780657,0.0,0.9518607225552602,1.0,0.0008959236354656668,0.0,0.6337454562197582,0.0,0.35898698526123785,0.0,0.27138183032219454,0.0,0.9680252540347062,0.0,0.9971964747689523,0.0,0.8665232997263883,1.0,0.013711904628791995,0.0,0.3315263280525038,0.0,0.15490590455812048,0.0,0.7156864826671114,0.0,0.7019612859816753,0.0,0.8880024709936237,1.0,0.007321332464351961,1.0,0.7693390304370783,0.0,0.7981335451940492,0.0,0.779584149288465,0.0,0.10826955722917808,0.0,0.738560712597085,1.0,0.02493071064660632,0.0,0.4012893041205535,0.0,0.11646900086067213,0.0,0.9075792015783761,0.0,0.7937230140537885,0.0,0.5961015970385694,1.0,0.13000154447409074,0.0,0.21569927362687252,0.0,0.34427775396835925,0.0,0.0866770687642377,0.0,0.33620299813201293,1.0,0.002852292556263555,1.0,0.9570071781518457,0.0,0.6899883100756891,0.0,0.6096761101215054,0.0,0.8713862089649025,0.0,0.639560794719164,1.0,0.0006944941930497452,0.0,0.2870755138048521,0.0,0.18849351129643654,0.0,0.7484064946301523,0.0,0.8359163682903864,0.0,0.8028392800364571,0.0,0.6878042435450754,1.0,0.04643408564868771,0.0,0.8795469937045632,0.0,0.5868450747499685,1.0,0.15291251861236338,0.0,0.32327335609230734,0.0,0.7342855772093787,0.0,0.4431113279214171,0.0,0.09962253982925745,0.0,0.7295956861656987,1.0,0.13194538170451542,0.0,0.41287802928044554,1.0,0.0043576804885949,0.0,0.96709623575114,0.0,0.09668115057073173,0.0,0.7168052452901865,1.0,0.0007889490658612853,0.0,0.02190518927811073,1.0,0.6551143960566115,1.0,0.02724370874600312,1.0,0.011892818261034202,0.0,0.14245138615140046,0.0,0.060311627994641306,1.0,0.5042200149830679,0.0,0.08586861120922384,0.0,0.31741263599803293,0.0,0.3123451954148013,0.0,0.35749056507919275,0.0,0.7430716233422199,0.0,0.09011262020664262,0.0,0.14915549958608987,0.0,0.4577667653956766,1.0,2.330982344474726e-05,0.0,0.7559059216861468,0.0,0.11924177910913047,0.0,0.6772028898763413,0.0,0.07386343884704451,0.0,0.29564489998743915,0.0,0.9622722398435141,0.0,0.26100445900276814,1.0,1.0488085213041376e-05,0.0,0.29462397279905117,1.0,0.1218229281695895,0.0,0.8908631603683411,1.0,0.0002215049764819661,0.0,0.0928830786786769,0.0,0.14716273168237826,0.0,0.25994672046199757,1.0,0.21274895980858954,0.0,0.8614631915480553,1.0,0.000818323711897173,1.0,2.4753561239697043e-06,0.0,0.6697090945580715,0.0,0.17478693045577304,0.0,0.8530910289381108,0.0,0.7332466511115573,0.0,0.11766794802168462,0.0,0.12687196984819754
CPI_sqrt,300,118.32283568382263,0.9699894128159381,0.0,0.49964992235992406,0.0,0.49716424452964797,0.0,0.49869593903139264,0.0,0.500001784072001,0.0,0.5000435626639486,0.0,0.499985210116528,0.0,0.4999731992713872,1.0,0.1493819741935351,0.0,0.5060646004407907,0.0,0.49325827317577015,1.0,0.49749915070745265,1.0,0.49984374932905995,0.0,0.5001208722906539,0.0,0.4947347569409948,1.0,0.42132462997074377,0.0,0.5000105902752617,0.0,0.49692281075642863,0.0,0.49712123505924477,0.0,0.500114222437205,1.0,0.392614042018597,1.0,0.24294848024781462,0.0,0.48905299927853607,0.0,0.4996227174495172,1.0,0.5024960590886232,0.0,0.4886308006637541,0.0,0.494794434588255,0.0,0.5001414193290852,0.0,0.5025362173265072,0.0,0.5001127351805302,0.0,0.4989458754664506,0.0,0.5003527813069762,1.0,0.5019948566014474,0.0,0.500502631348868,0.0,0.49932644183463115,0.0,0.501270594706349,0.0,0.5000664538957782,0.0,0.5013347867691974,0.0,0.49712010491602787,0.0,0.49291913095170636,0.0,0.514080172392423,0.0,0.5123523928929857,0.0,0.49789993302572866,0.0,0.49702209787387924,0.0,0.5000402383460981,0.0,0.499934861368413,0.0,0.5000552134574678,0.0,0.49997970583416246,0.0,0.4984813980830697,0.0,0.49886606297405545,1.0,0.40002564306662436,1.0,0.4999416601885622,0.0,0.49845977568496985,0.0,0.49521541783281237,0.0,0.5011067321235535,1.0,0.003752870301943228,0.0,0.5000588643837468,0.0,0.502571679737777,1.0,0.007397204212464709,0.0,0.49984785683355276,0.0,0.5000579378706802,0.0,0.496049210452449,0.0,0.4999488356830322,1.0,0.3942438376884666,1.0,0.44996295759364646,1.0,0.06720024968391619,0.0,0.4939836889933735,0.0,0.5097864591734227,0.0,0.5001217650004696,1.0,0.46355375237168217,0.0,0.4999689806691705,0.0,0.4993885187557015,1.0,0.31132279249993233,0.0,0.49938461380932975,1.0,0.027171922715886927,0.0,0.5036849006633389,0.0,0.49715754682404995,0.0,0.5002030534205442,1.0,0.016228137165314026,0.0,0.5091222860541184,0.0,0.500114085850302,0.0,0.5009088856338318,0.0,0.5001801660864033,0.0,0.5077066345313889,1.0,0.04364515514935653,0.0,0.5015449606188068,1.0,0.3562030412208909,1.0,0.49586877635778354,0.0,0.49459092553882866,0.0,0.4997238997912758,1.0,0.4034972639300548,0.0,0.5001324436015129,0.0,0.4998265270648248,0.0,0.5003220188287911,0.0,0.5082043162728336,0.0,0.500387362630997,0.0,0.5003887938918231,1.0,0.3091831388067,0.0,0.4993764984684624,1.0,0.48084688426036387,0.0,0.49855441393965033,1.0,0.33827190256461015,0.0,0.49850703994998946,0.0,0.500100171812532,0.0,0.4999796432753213,0.0,0.5018567260576016,0.0,0.5028100979079403,0.0,0.5000006463449549,1.0,0.37182276604925724,0.0,0.5006124206365143,0.0,0.49945081250536283,0.0,0.500018231698947,0.0,0.5055502412017038,0.0,0.50041194140716,1.0,0.40102080518066174,1.0,0.4986199841501738,0.0,0.5077777460981392,0.0,0.4993887511109462,0.0,0.5029690858933249,0.0,0.5000608736788165,1.0,0.41521630328309916,0.0,0.4999296340752778,0.0,0.499715477852958,0.0,0.5053142675593438,0.0,0.4956567458898961,0.0,0.49998218261035615,1.0,0.4492665828397444,0.0,0.4991082213699347,0.0,0.4999475343373023,0.0,0.49982545638979814,0.0,0.49994849620662546,1.0,0.37109113677175987,1.0,0.4952909209260166,0.0,0.500037647812934,0.0,0.5105425304859752,0.0,0.5089247940929756,0.0,0.4878849682353346,1.0,0.4111221951373123,0.0,0.4995369155523359,0.0,0.500182526705785,0.0,0.5000394519132331,0.0,0.5016276337318711,0.0,0.5001364136423486,0.0,0.5003937747144986,1.0,0.45944911692977,0.0,0.5012652927830156,0.0,0.4984370608594916,1.0,0.4864136770587258,0.0,0.5000909990986252,0.0,0.5000448975640028,0.0,0.5023744309582385,0.0,0.4999382106161164,0.0,0.5006089108840351,1.0,0.48238446510414845,0.0,0.5000472481805995,1.0,0.26577430982881356,0.0,0.49308063470926283,0.0,0.4911674477865419,0.0,0.5000911297508905,1.0,0.2848166467900382,0.0,0.4703034723456964,1.0,0.4662765913271287,1.0,0.4127501715067576,1.0,0.370545273124261,0.0,0.49722661231348503,0.0,0.4998875606616643,1.0,0.49985799813685605,0.0,0.49992457483880903,0.0,0.5021685262793728,0.0,0.5000229875812175,0.0,0.5008303284193846,0.0,0.49710325879512834,0.0,0.500037738905394,0.0,0.4943232915872044,0.0,0.49554769972817064,1.0,0.14172631353002763,0.0,0.5000545143760778,0.0,0.498918177678081,0.0,0.500027616434835,0.0,0.4999727573472012,0.0,0.48576191459863477,0.0,0.5010870436379382,0.0,0.5000831435351534,1.0,0.09746332118912826,0.0,0.49573859883817656,1.0,0.4656324783974168,0.0,0.5006736021769814,1.0,0.3146624399581053,0.0,0.48464311744610183,0.0,0.4996541873911828,0.0,0.5001751221669442,1.0,0.4842965246754647,0.0,0.49975836184863365,1.0,0.380982668550786,1.0,0.1622843686459703,0.0,0.4999727622624689,0.0,0.49995118700493846,0.0,0.5000809358379797,0.0,0.4999757701196812,0.0,0.49757649145011534,0.0,0.49998175601782224
CPI_n,300,118.37943530082703,0.9699894128159381,0.0,0.49495431218027097,0.0,0.5658595902936365,0.0,0.49791591547302594,0.0,0.5002532414967928,0.0,0.49861984794772274,0.0,0.49939563592584246,0.0,0.5011338974643763,1.0,5.8229764167892126e-05,0.0,0.5354723590410118,0.0,0.471917178229027,1.0,0.47719139431369056,1.0,0.48453196612229205,0.0,0.47241832166011405,0.0,0.5046803802604857,1.0,0.11829015465760268,0.0,0.5024990752952706,0.0,0.5038383211096541,0.0,0.5500313030640371,0.0,0.500054832150433,1.0,0.21249435680586914,1.0,0.003634459082543582,0.0,0.43114656219894915,0.0,0.5011753389516608,1.0,0.4851112033029491,0.0,0.4698596483305546,0.0,0.5114751249903208,0.0,0.5632493206950124,0.0,0.4634771366189795,0.0,0.5006537653526606,0.0,0.46861386597381743,0.0,0.49003945025731216,1.0,0.499309090630259,0.0,0.5008920116443919,0.0,0.5005262293753091,0.0,0.48924924669293024,0.0,0.4992594278516813,0.0,0.5006076925074494,0.0,0.4338438981127808,0.0,0.4195005645048504,0.0,0.6147618533002854,0.0,0.5489524895725308,0.0,0.5011324909903508,0.0,0.5543973353705864,0.0,0.5008229915302206,0.0,0.5002555639731748,0.0,0.4991687040969662,0.0,0.4998753273667576,0.0,0.479124549770882,0.0,0.5006986189464638,1.0,0.4096174684432771,1.0,0.500759188387857,0.0,0.47021704042531637,0.0,0.5659427367084784,0.0,0.49077636498671623,1.0,1.7039739207942134e-06,0.0,0.5078881315124574,0.0,0.5090630481652348,1.0,1.7983671439115063e-06,0.0,0.49760791757287215,0.0,0.5009954419066034,0.0,0.5016703521783358,0.0,0.5003960834372997,1.0,0.022275085792126715,1.0,0.4889415568212986,1.0,3.416807271367344e-05,0.0,0.4365272111574852,0.0,0.5549465106438957,0.0,0.5005001801186367,1.0,0.23348364161642987,0.0,0.4995424600486224,0.0,0.4783921391808943,1.0,0.022762225203901868,0.0,0.4961163626378734,1.0,0.0017893806230538261,0.0,0.5139739744246898,0.0,0.5443163639221739,0.0,0.5016167905064312,1.0,2.2852408897403705e-06,0.0,0.5815769537088111,0.0,0.4967311670269181,0.0,0.5013285906965697,0.0,0.5010673166355473,0.0,0.5222082204707826,1.0,0.0001876923599741131,0.0,0.4935757610655074,1.0,0.039570719330617565,1.0,0.6175430658872936,0.0,0.5321836157155685,0.0,0.5009072992229107,1.0,0.13809852255561644,0.0,0.5002359535084288,0.0,0.499078707046324,0.0,0.49754750134835685,0.0,0.6339364744042512,0.0,0.5019099887284416,0.0,0.502092344410717,1.0,0.013325334817937132,0.0,0.5198449813276178,1.0,0.3400691520353213,0.0,0.4946351364392067,1.0,0.1088621988747232,0.0,0.48854224487806835,0.0,0.5146001752667949,0.0,0.5000662353838119,0.0,0.5012684703974998,0.0,0.6080908477137047,0.0,0.5000300267639969,1.0,0.08989157609984999,0.0,0.49848125940387467,0.0,0.4927699827051107,0.0,0.5004908202821294,0.0,0.5155615428199016,0.0,0.49908265318675915,1.0,0.149952814076994,1.0,0.5601164678428489,0.0,0.44531371014865556,0.0,0.49372248571949473,0.0,0.41855339800200553,0.0,0.5015328952516784,1.0,0.30687172063527013,0.0,0.5019479740486285,0.0,0.4207725317138906,0.0,0.5211227699753589,0.0,0.5298887554168437,0.0,0.500983826891529,1.0,0.11711315213239215,0.0,0.468118826842963,0.0,0.5005694912414277,0.0,0.4995690774207133,0.0,0.5017279070586942,1.0,0.05123287313423258,1.0,0.8310813642504964,0.0,0.49973217151433635,0.0,0.47710408440633006,0.0,0.45758057016943643,0.0,0.5978145621369682,1.0,0.028306931123543305,0.0,0.49941483969200506,0.0,0.5010563480842337,0.0,0.5005422817009186,0.0,0.5083355644284171,0.0,0.5019758526473878,0.0,0.4934679540611711,1.0,0.10893842076293425,0.0,0.49779741237940495,0.0,0.48142403142917506,1.0,0.505644822603167,0.0,0.49992206193894767,0.0,0.5004691881251258,0.0,0.4815373891960976,0.0,0.4999693448988771,0.0,0.5024097496081221,1.0,0.5041037870822673,0.0,0.5327446357878728,1.0,0.09955104700536055,0.0,0.474480052104456,0.0,0.4678790680937167,0.0,0.5011250195999474,1.0,0.07184487130180466,0.0,0.36220398536428033,1.0,0.4944329824322904,1.0,0.2568497077022891,1.0,0.011683883086272849,0.0,0.4732819021000729,0.0,0.498037919933904,1.0,0.49919784695997177,0.0,0.4989664525830013,0.0,0.44723136697183524,0.0,0.49903329046817263,0.0,0.49722974935191155,0.0,0.4804658941920503,0.0,0.4998719810553965,0.0,0.482555945975359,0.0,0.5210180683660681,1.0,0.00014651584150492578,0.0,0.49910361078447224,0.0,0.47242638889918354,0.0,0.501138654563215,0.0,0.5008726749378144,0.0,0.49291377109977474,0.0,0.49875612237671624,0.0,0.5006142857176116,1.0,0.0008764980133979934,0.0,0.47780811034031156,1.0,0.46345295115396534,0.0,0.5040429113403113,1.0,0.03620340415113682,0.0,0.44439159918230337,0.0,0.4966623413842601,0.0,0.49203787437135715,1.0,0.3947227873100839,0.0,0.49697272718205426,1.0,0.0839292661297979,1.0,0.0008544587922914905,0.0,0.49998833220782163,0.0,0.5005710595733013,0.0,0.5014219602011993,0.0,0.5001387394746174,0.0,0.49381322522413623,0.0,0.5009627551998336
