n,AUC_diff,Method
100,1.0,Ridge
100,0.9642857142857143,Ridge
100,0.9928571428571429,Ridge
100,0.9928571428571429,Ridge
100,1.0,Ridge
100,1.0,Ridge
100,0.9857142857142858,Ridge
100,0.9785714285714286,Ridge
100,1.0,Ridge
100,0.9857142857142858,Ridge
300,0.9632,Ridge
300,0.9423999999999999,Ridge
300,0.8959999999999999,Ridge
300,0.984,Ridge
300,0.9786666666666667,Ridge
300,0.9663999999999999,Ridge
300,0.9888,Ridge
300,0.9696,Ridge
300,0.9717333333333333,Ridge
300,0.9882666666666667,Ridge
500,0.9918650793650794,Ridge
500,0.9956349206349207,Ridge
500,0.9972222222222222,Ridge
500,1.0,Ridge
500,0.9978174603174603,Ridge
500,0.9998015873015873,Ridge
500,0.9996031746031746,Ridge
500,1.0,Ridge
500,0.9974206349206348,Ridge
500,0.9990079365079365,Ridge
1000,0.9941205533596837,Ridge
1000,0.9876976284584981,Ridge
1000,0.9984189723320158,Ridge
1000,0.9898715415019763,Ridge
1000,0.9968379446640316,Ridge
1000,0.9959486166007905,Ridge
1000,0.9932312252964427,Ridge
1000,0.9970849802371542,Ridge
1000,0.9965415019762847,Ridge
1000,0.9933794466403162,Ridge
100,1.0,Lasso
100,0.9642857142857143,Lasso
100,0.9928571428571429,Lasso
100,0.9928571428571429,Lasso
100,1.0,Lasso
100,1.0,Lasso
100,0.9857142857142858,Lasso
100,0.9785714285714286,Lasso
100,1.0,Lasso
100,0.9857142857142858,Lasso
300,0.9632,Lasso
300,0.9423999999999999,Lasso
300,0.8959999999999999,Lasso
300,0.984,Lasso
300,0.9786666666666667,Lasso
300,0.9663999999999999,Lasso
300,0.9888,Lasso
300,0.9696,Lasso
300,0.9717333333333333,Lasso
300,0.9882666666666667,Lasso
500,0.9918650793650794,Lasso
500,0.9956349206349207,Lasso
500,0.9972222222222222,Lasso
500,1.0,Lasso
500,0.9978174603174603,Lasso
500,0.9998015873015873,Lasso
500,0.9996031746031746,Lasso
500,1.0,Lasso
500,0.9974206349206348,Lasso
500,0.9990079365079365,Lasso
1000,0.9941205533596837,Lasso
1000,0.9876976284584981,Lasso
1000,0.9984189723320158,Lasso
1000,0.9898715415019763,Lasso
1000,0.9968379446640316,Lasso
1000,0.9959486166007905,Lasso
1000,0.9932312252964427,Lasso
1000,0.9970849802371542,Lasso
1000,0.9965415019762847,Lasso
1000,0.9933794466403162,Lasso
100,1.0,GB
100,0.9642857142857143,GB
100,0.9928571428571429,GB
100,0.9928571428571429,GB
100,1.0,GB
100,1.0,GB
100,0.9857142857142858,GB
100,0.9785714285714286,GB
100,1.0,GB
100,0.9857142857142858,GB
300,0.9632,GB
300,0.9423999999999999,GB
300,0.8959999999999999,GB
300,0.984,GB
300,0.9786666666666667,GB
300,0.9663999999999999,GB
300,0.9888,GB
300,0.9696,GB
300,0.9717333333333333,GB
300,0.9882666666666667,GB
500,0.9918650793650794,GB
500,0.9956349206349207,GB
500,0.9972222222222222,GB
500,1.0,GB
500,0.9978174603174603,GB
500,0.9998015873015873,GB
500,0.9996031746031746,GB
500,1.0,GB
500,0.9974206349206348,GB
500,0.9990079365079365,GB
1000,0.9941205533596837,GB
1000,0.9876976284584981,GB
1000,0.9984189723320158,GB
1000,0.9898715415019763,GB
1000,0.9968379446640316,GB
1000,0.9959486166007905,GB
1000,0.9932312252964427,GB
1000,0.9970849802371542,GB
1000,0.9965415019762847,GB
1000,0.9933794466403162,GB
100,1.0,NN
100,0.9642857142857143,NN
100,0.9928571428571429,NN
100,0.9928571428571429,NN
100,1.0,NN
100,1.0,NN
100,0.9857142857142858,NN
100,0.9785714285714286,NN
100,1.0,NN
100,0.9857142857142858,NN
300,0.9632,NN
300,0.9423999999999999,NN
300,0.8959999999999999,NN
300,0.984,NN
300,0.9786666666666667,NN
300,0.9663999999999999,NN
300,0.9888,NN
300,0.9696,NN
300,0.9717333333333333,NN
300,0.9882666666666667,NN
500,0.9918650793650794,NN
500,0.9956349206349207,NN
500,0.9972222222222222,NN
500,1.0,NN
500,0.9978174603174603,NN
500,0.9998015873015873,NN
