n,AUC_diff,Method
100,0.9714285714285714,Lasso
100,1.0,Ridge
100,0.9857142857142858,Lasso
100,0.9642857142857143,Ridge
100,1.0,Lasso
100,0.9928571428571429,Ridge
100,1.0,Lasso
100,0.9928571428571429,Ridge
100,0.9785714285714285,Lasso
100,1.0,Ridge
100,0.9642857142857143,Lasso
100,1.0,Ridge
100,1.0,Lasso
100,0.9857142857142858,Ridge
100,0.9857142857142858,Lasso
100,0.9785714285714286,Ridge
100,1.0,Lasso
100,1.0,Ridge
100,1.0,Lasso
100,0.9857142857142858,Ridge
300,0.9663999999999999,Lasso
300,0.9632,Ridge
300,0.9285333333333333,Lasso
300,0.9423999999999999,Ridge
300,0.9450666666666667,Lasso
300,0.8959999999999999,Ridge
300,0.968,Lasso
300,0.984,Ridge
300,0.9248000000000001,Lasso
300,0.9786666666666667,Ridge
300,0.9456,Lasso
300,0.9663999999999999,Ridge
300,0.9343999999999999,Lasso
300,0.9888,Ridge
300,0.8944000000000001,Lasso
300,0.9696,Ridge
300,0.9290666666666666,Lasso
300,0.9717333333333333,Ridge
300,0.9215999999999999,Lasso
300,0.9882666666666667,Ridge
500,0.9742063492063492,Lasso
500,0.9918650793650794,Ridge
500,0.9270833333333333,Lasso
500,0.9956349206349207,Ridge
500,0.9111111111111111,Lasso
500,0.9972222222222222,Ridge
500,0.9390873015873016,Lasso
500,1.0,Ridge
500,0.9412698412698413,Lasso
500,0.9978174603174603,Ridge
500,0.9410714285714286,Lasso
500,0.9998015873015873,Ridge
500,0.9708333333333332,Lasso
500,0.9996031746031746,Ridge
500,0.9652777777777777,Lasso
500,1.0,Ridge
500,0.9638888888888889,Lasso
500,0.9974206349206348,Ridge
500,0.9375000000000001,Lasso
500,0.9990079365079365,Ridge
1000,0.8893774703557312,Lasso
1000,0.9941205533596837,Ridge
1000,0.908201581027668,Lasso
1000,0.9876976284584981,Ridge
1000,0.8892292490118577,Lasso
1000,0.9984189723320158,Ridge
1000,0.904594861660079,Lasso
1000,0.9898715415019763,Ridge
1000,0.9233201581027667,Lasso
1000,0.9968379446640316,Ridge
1000,0.9347826086956522,Lasso
1000,0.9959486166007905,Ridge
1000,0.9120553359683794,Lasso
1000,0.9932312252964427,Ridge
1000,0.9203063241106719,Lasso
1000,0.9970849802371542,Ridge
1000,0.8955780632411068,Lasso
1000,0.9965415019762847,Ridge
1000,0.9080039525691699,Lasso
1000,0.9933794466403162,Ridge
