method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,95.1108627319336,8.566467052162352e-06,0.9211351085948744,0.9224911674400106,6.2744276441151214e-09,0.9999999999997224,0.0002904474763048004,0.869544573021561,0.15061095562713356,0.2691632605910077,3.734033748870047e-09,0.9612346924623661
CPI,442,6.609486103057861,0.5116530309953446,0.0013689095230323609,0.00013331375191211658,0.0004276703839819487,0.11690294414235264,0.0038409867102593394,0.06357825754404908,0.7376669613928264,0.00045652686154045574,0.13385584275803153,0.981279473354246
CPI_sqrt,442,6.622302055358887,0.8817868575692217,0.023518183361333992,0.00010554334820155856,0.006615392897258574,0.18641061403553144,0.4252084949674369,0.5620142155957127,0.4229608566898706,5.9415099791122556e-05,0.04604002580446015,0.8800891345145445
CPI_n,442,6.61478066444397,0.7582576304703503,5.8474947627339414e-05,9.631638866513362e-07,0.00269835478431974,0.3329470482063991,0.11478406948205028,0.15238688619312285,0.2778790791787484,0.00028273664336323856,0.24866840834447995,0.9958950323550935
CPI_bt,442,6.697499513626099,0.5110791214174666,0.4554115934877648,0.49523065675364525,0.487344524068895,0.47291289311021634,0.4647961919267539,0.4945227989877276,0.519803073864542,0.49261312074795205,0.5073089675735866,0.5157542154465133
CPI_sqd,442,6.691824913024902,0.4910041621295522,0.4678267171652606,0.48969105503492494,0.4904754525759529,0.4601356961828664,0.3894696105184683,0.5012670304401451,0.5119426233167104,0.4922615339113139,0.4979557600361703,0.5304793780095034
S-CPI,442,9.806140899658203,0.8692458584323645,0.007970168099650952,0.0013936420242806407,0.016083741442481862,0.3986299909240162,0.06823980663199862,0.6842510708771373,0.8542213460777961,0.0027146567098480083,0.25519534795088383,0.9921409709777745
S-CPI_sqrt,442,9.811322450637817,0.8344015534318612,0.018630935918817853,0.00013135941817082848,0.03382718885516671,0.4457878683507931,0.0644401062084796,0.5617005390667734,0.7225657390755024,0.001247665586571853,0.39363055373999933,0.9321758538988221
S-CPI_n,442,9.798096418380737,0.8958320421975481,0.0021725269047563815,0.00025283603427927206,0.009871026238983274,0.27701428745037604,0.008792421058141552,0.8202269762795018,0.6942136114302677,0.0015296737429266326,0.3473706864898187,0.9751167277425434
S-CPI_bt,442,9.843512773513794,0.5119637197378889,0.47195345805304884,0.4935590862133436,0.49005387015026713,0.4921513067600104,0.44075750065461394,0.5044465534627762,0.5078516736766164,0.49358838601314936,0.49952415339267914,0.5321316244103586
