method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
LOCO-W,20640,2.639051914215088,0.0,1.0,0.1493587375123191,0.9999712851804401,0.0,0.9134090161219323,1.0,8.359979375427429e-14,0.0
CPI,20640,32.91039443016052,8.30122679012664e-44,6.515220461302828e-06,0.040385289216822766,0.05399309312035532,0.6818091887585492,1.8688537245350622e-05,1.9387849134208909e-78,1.7830628173262028e-85,1.0
CPI_sqrt,20640,32.6956262588501,1.3381893018437146e-15,0.372659253874886,0.3591519093197305,0.29636685843959953,0.4999992881446157,0.48539996526925916,3.7498684286686306e-06,1.6854322991053802e-05,0.5
CPI_n,20640,32.648213386535645,1.6162070201507016e-54,0.00030488000727913416,0.041410943987450315,0.0622090790897478,0.5002459899171506,0.037309112869149126,2.9024042320896936e-77,4.572878236398984e-74,0.5
CPI_bt,20640,93.47736668586731,0.0,6.617262874156237e-152,0.0,0.0,0.5008529822491754,0.0021674152833711284,0.0,0.0,0.5
CPI_sqd,20640,96.47316360473633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
S-CPI,20640,32.90619087219238,1.2561888511791766e-60,0.008623129166186901,0.23932627340365342,0.30165338431122196,0.5510122486112302,1.4687724269157797e-07,7.604782783902659e-47,1.4503895573870566e-41,0.5
S-CPI_sqrt,20640,32.78354549407959,3.352237513383069e-17,0.41262416688890385,0.3840057716130491,0.41460960356846116,0.5000038595429831,0.4776001770747159,1.7350417475851582e-05,4.0269899006517935e-05,0.5
S-CPI_n,20640,32.6025493144989,3.654942381835291e-55,0.016524690566582272,0.2042907869905607,0.31257356552605386,0.5000903223646189,0.008316844771717529,1.6655500733946807e-46,1.2709119641349746e-43,0.5
S-CPI_bt,20640,96.20239281654358,0.0,7.454375134057392e-129,8.055369510667675e-95,9.184412041305237e-82,0.500387886457902,8.195428522040294e-07,0.0,0.0,0.5
S-CPI_sqd,20640,96.00416994094849,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.5
S-CPI2,20640,33.250003814697266,7.689574762613904e-51,0.04485456076629607,0.25233464898731506,0.34942894514750744,0.6929179913832114,4.172459433204292e-09,1.0588499736946825e-44,2.996228785575261e-39,0.9785566455434958
S-CPI2_sqrt,20640,33.18443775177002,1.549860037388216e-16,0.41416434642548694,0.4088501006486512,0.42322118413290927,0.5000079078352512,0.474698490585554,2.5392222457613684e-05,3.816986160366432e-05,0.500000000000006
S-CPI2_n,20640,33.14613151550293,2.2063897803254684e-50,0.05145793492363309,0.25361515211567554,0.3558702649573863,0.5006948051434058,0.004055342159489024,1.5086783959729812e-42,2.805404643929919e-36,0.5000000000004695
S-CPI2_bt,20640,96.62316918373108,0.0,4.756897185646812e-81,3.570353334679045e-104,1.02174409905759e-46,0.5007298633942883,1.2975643945063221e-07,0.0,0.0,0.5000000000004695
S-CPI2_sqd,20640,95.53003215789795,0.0,0.0,0.0,3.2029660022191685e-206,1.0,0.0,0.0,0.0,0.5000000029071314
LOCO,20640,31.57268762588501,2.0638124807993604e-48,0.04893460888974994,0.2544744024321474,0.34900158136478343,0.37467320229818857,1.4137335451657731e-08,2.8438447384361216e-45,8.670668960979475e-41,0.9238360629040979
LOCO_sqrt,20640,31.388306617736816,1.343813490985932e-15,0.4137556222290205,0.4099789863073075,0.4249812758298132,0.49998446519586426,0.474445749217921,2.0460990684566016e-05,3.294022441281691e-05,0.5000031739684118
LOCO_n,20640,31.40246343612671,1.9614574398486169e-47,0.06335053157707242,0.25949975736484626,0.35089611866552417,0.49878904559787274,0.00391956358875025,1.0106708702992017e-42,1.3885185393897222e-38,0.5002496494122678
LOCO_bt,20640,89.84973549842834,0.0,1.1588854368744909e-82,5.00719930299228e-97,1.0425595734740184e-45,0.4987774306539318,1.6804715642348432e-07,0.0,0.0,0.5002497586047798
LOCO_sqd,20640,91.53222441673279,0.0,0.0,0.0,1.2794214284817638e-166,1.4101710757477908e-80,0.0,0.0,0.0,0.9999470179735493
S-CPI_ST,20640,31.453315258026123,2.1806179467408764e-154,0.016903261038452484,6.52230972313006e-23,5.4053635460171094e-30,0.8297340679932286,8.665327555644924e-15,1.1155168794727277e-50,3.234911571524052e-53,1.0
S-CPI_Wilcox,20640,31.433054447174072,5.931972052303856e-265,7.374481711935922e-07,8.6167506805229e-33,1.38860077452999e-48,0.046068705744342256,3.5034099412277116e-21,1.0327868651865005e-91,8.371377280547342e-103,
LOCO_ST,20640,31.561365604400635,1.3894601531778277e-125,0.9946836053513435,5.6269930400864785e-36,1.52987864595672e-44,0.9999870817135961,3.911939463880376e-24,4.80492972156603e-22,2.524133566721875e-34,0.9999999999999718
LOCO_Wilcox,20640,31.561365604400635,1.2049389690755774e-195,0.8249729376078958,3.830092278789923e-45,1.1636926745122914e-57,0.9999997913190493,5.484584242872964e-36,5.2074454942972954e-48,1.2092979530842086e-49,0.9999999999999988
Semi_KO_ST,20640,171.14300513267517,0.0,7.014898528718514e-05,8.344514787298438e-21,7.70509275044486e-27,0.9842559535502329,0.003682334486798392,2.2466618339977947e-171,6.935841432237666e-134,0.0851503470630958
Semi_KO_Wilcox,20640,170.32191348075867,0.0,1.9714057909805686e-07,2.8636751621468956e-34,7.440457166896891e-60,0.1066597508053933,0.004354160364813252,2.0396256699951157e-261,6.196409865875259e-228,0.7899902660141367
