method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,94.45200657844543,0.0002308536405397632,4.049729662725099e-09,0.040529835217736454,0.001541571972976108,0.9448018558366404,0.9759794512434854,0.005616333219553127,0.8461743431412521,0.0008240588462572473,1.4282275530796973e-05,0.9999864397467444
CPI,442,6.463900804519653,0.47214122040510864,0.335204818868162,5.967803199635187e-06,0.000411413350035714,0.21808224783021563,0.5230211508579095,0.00010646361089538641,0.9585527403081355,9.729116421478309e-05,0.718573735738188,0.36413888330264427
CPI_sqrt,442,6.463151216506958,0.4201326179243682,0.43005291603275964,3.3481030728286793e-06,0.1422186518121918,0.5406691327646137,0.39361151448967713,0.00033784558816269707,0.5468348036643377,0.00017690263984501806,0.40695988658654436,0.5175077845660581
CPI_n,442,6.456317901611328,0.4342906356448655,0.05487084256504543,0.003697700616798106,0.017583061790221222,0.5723010409446754,0.7466097114697261,7.201897774811126e-05,0.48601229032966886,0.00033891077616177417,0.46882050013121207,0.5901071351505907
CPI_bt,442,6.533990383148193,0.5024266631112028,0.49019065967808156,0.492889643135423,0.4908892303211528,0.5857095164947786,0.46927604981399423,0.4815711878028628,0.5862758088551336,0.4787801840156754,0.5450271435675064,0.501011785589152
CPI_sqd,442,6.535915851593018,0.5083507756858008,0.4874446097679853,0.49176556605281263,0.49393774196966905,0.49118380772346826,0.4587949788144589,0.4743406007797986,0.5014001119544489,0.49067648732490704,0.49202465801738693,0.4919688820466373
S-CPI,442,9.46857476234436,0.6223774141785021,0.08797454891422385,0.0004632213518117037,0.024034604852757584,0.6962651258837849,0.3466841620608723,0.00013085027942460147,0.5017781546420375,0.0002693066159062413,0.7318144760850481,0.27473022547332315
S-CPI_sqrt,442,9.467853307723999,0.6465907621250272,0.2783442884439731,0.0006667734964703631,0.06156624336063527,0.6555583021494991,0.31434082186206586,0.0030890808814615085,0.6552942235704564,2.341514106991656e-05,0.7591200494882213,0.5172033201487962
S-CPI_n,442,9.470535516738892,0.445023598480263,0.4437801476261946,9.411216466175879e-05,0.041202724695092466,0.6692031900180226,0.5261519301487253,0.0008303009840318125,0.5656856873750907,0.0002542237327974865,0.7015829138295642,0.2969784626964528
S-CPI_bt,442,9.549059867858887,0.4882344881690503,0.49609825041804545,0.4932258052316933,0.49453606382559334,0.5369559412928785,0.48147440654519047,0.47513439820920905,0.5356413616527479,0.48835956581402,0.5117496171962519,0.49741591547559416
S-CPI_sqd,442,9.531260013580322,0.5069500723616163,0.49512890523384023,0.4952079229054475,0.49429908525154803,0.5051992172092431,0.4700570098491445,0.46740680313508876,0.5478286856761425,0.4901069374866721,0.5247683361968064,0.49801143180951846
S-CPI2,442,40.5466046333313,0.6007573406740916,0.16541861281946313,0.00017701472346099732,0.0321234603093774,0.8160253432444224,0.42404557224908124,0.0003463790061617941,0.643886557369489,1.7262790197994246e-05,0.710496305619707,0.5285905723855756
S-CPI2_sqrt,442,40.47291326522827,0.5601354908265546,0.22818356592686206,0.00012680066721654606,0.030611809360885783,0.6540377738379928,0.4331682493150713,0.0014708086680893656,0.6057123487710692,0.00010355900402015358,0.6820788280682851,0.509418497800399
S-CPI2_n,442,40.7980101108551,0.6167851819164826,0.16976656884292307,0.00015729192922743404,0.03726250733142354,0.6915166652812428,0.3511263409725064,0.00042092393535657835,0.6770086525776602,4.403712117221653e-05,0.6961108687449854,0.5433738515093816
S-CPI2_bt,442,40.06360650062561,0.5052076781646059,0.4943896829256924,0.49330878718847787,0.49306133294125926,0.5278725696422423,0.4872207979044415,0.47331361766480906,0.5070231739056754,0.4896822727350772,0.511757534796875,0.498511870991924
S-CPI2_sqd,442,40.296730518341064,0.4987415885998237,0.49206805868875564,0.4947550743692997,0.4946937431291889,0.5294132483367394,0.49675314023777695,0.47791890250182173,0.5075315720075313,0.4890492784863245,0.5147213916522793,0.4984644118206583
LOCO,442,60.94560098648071,0.5695301794432364,0.09554530071772821,0.006049399782205132,0.31164638976985765,0.8228301562715475,0.6018706194798303,0.030937364086914627,0.9598502302187152,0.1342319258912369,0.6820249984295911,0.7004727704342829
LOCO_sqrt,442,60.926215410232544,0.5552146905684752,0.12434521222242279,0.007705272822906695,0.3214811012531424,0.7606625885619941,0.5889875463104685,0.05830717328349946,0.8946258118880446,0.15278423176140604,0.6461550392732226,0.680959576869296
LOCO_n,442,60.9189555644989,0.5680028301022556,0.09810663070994746,0.006183598222624947,0.3125399277731128,0.8165135333548179,0.6006092772069553,0.033109545315503225,0.9545511314786581,0.13588916855190675,0.6782590373579932,0.6986242764700404
LOCO_bt,442,60.992297887802124,0.5027139409745994,0.49140233163407804,0.49456018854445555,0.4983223696691943,0.5225488815111887,0.5022484082825477,0.47674179239722836,0.5458688660048248,0.4947044133255845,0.5069377046983584,0.5032435637175403
LOCO_sqd,442,60.990729093551636,0.5025531618674426,0.48994409691823254,0.4951985751808068,0.4979577459768757,0.5162173850767856,0.5022267670759505,0.47829264780243175,0.5365595823781577,0.4950093609163374,0.507525738478585,0.5032997840114729
S-CPI_ST,442,6.511002063751221,0.6355730306632081,0.9999999997546408,5.757944727446626e-06,0.004515245343609975,0.9174583054221064,0.5000000000000003,0.04124564626258096,0.6984768054355599,0.018514255032074236,0.8070206228294606,0.6355730306632081
S-CPI_Wilcox,442,6.5228540897369385,0.6834002445860257,0.2392239869522863,0.001166551278637523,0.09772441880230376,0.6941772771327075,0.5271622200635642,0.05661417821389476,0.5009061072184983,4.593129406756887e-05,0.45119256505221383,0.11896634721831523
LOCO_ST,442,60.934826135635376,0.9719860590805498,0.08254169457789359,0.007436298546321058,0.5687982543664036,0.958754353737419,0.9408799447651196,0.08254169457789359,0.9995434011827042,0.30152319456444016,0.8876850350708186,0.5000000000000003
LOCO_Wilcox,442,60.934826135635376,0.8947215353296722,0.08552819832961334,0.005560382879329398,0.36683818377701655,0.9437051910912724,0.7928498939383852,0.01752905083727626,0.9980131567487315,0.11154579400494707,0.8181738121096769,0.6023329487934105
Semi_KO_ST,442,14.662294626235962,0.9161487410443694,0.009833319771256517,0.002477039835974095,0.3343182215557052,0.158929524163225,0.9999174061607542,0.6303951248251005,0.44327579804141315,0.002477039835974095,0.08385125895563059,0.20938578704295932
Semi_KO_Wilcox,442,14.67520809173584,0.4835272013326121,0.00015887026841366814,6.370516970080455e-07,0.0008543401712179799,0.162793646092887,0.36516475785918134,0.4655243566790817,0.4865662415993542,0.0009044368853332621,0.15265937758497938,0.37820856341031134
dCRT,442,73.12238430976868,0.9072532335371765,0.00018714941798551505,5.956705094843039e-13,1.2972310764264422e-06,0.11056799968178979,0.3101160893809817,0.8000273253847958,0.3187300573910896,8.124401169427669e-05,0.23091303921602124,0.10748857498186627
HRT,442,1083.730399608612,0.49093851132686084,0.07184466019417475,0.0,0.0012944983818770227,0.6284789644012945,0.33915857605177996,0.00032362459546925567,0.5889967637540453,0.0,0.7482200647249191,0.3048543689320388
Semi_KO_ST_perm5,442,37.175198793411255,0.9824056091766902,1.3754441404608315e-05,3.7494556292810205e-17,0.0017781091071890562,0.34305080957269996,0.9999999999871246,0.3748382675748381,0.25481588977868497,1.8195131094962903e-09,0.20338539958039278,0.001550009288381103
Semi_KO_Wilcox_perm5,442,37.07708144187927,0.5671444555255383,4.339474341796678e-07,5.044123059857918e-25,5.745111493788961e-08,5.668477616421583e-05,0.8173087101332985,0.039670710149743084,0.05391815037517931,6.825804563322737e-11,0.14188448869033832,0.2830566155090104
Semi_KO_ST_perm10,442,64.25173091888428,0.7601981524680527,1.0493947014334085e-11,2.8784272234180998e-33,1.4631246276190697e-17,0.2126703967203486,1.0,0.8703637657944571,0.01966102261212289,8.751235841653639e-17,7.957448910829544e-05,0.1296362342055429
Semi_KO_Wilcox_perm10,442,64.32006859779358,0.44149363060409486,1.48430473900737e-11,7.89848811907911e-57,9.504098139359702e-27,5.843626126998577e-07,0.7546110621141655,0.9871770192568444,0.004084114431969385,9.166314615625417e-22,0.0007313003353536287,0.0004180023855781209
