method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
LOCO-W,20640,2.3970634937286377,0.0,0.12994906064907652,0.020197635967499794,0.609813954536723,0.7249278695325069,0.2065397490295442,0.9999999999994182,0.0,0.9775093608677154
CPI,20640,33.4457905292511,5.041079766646587e-56,1.496253921901191e-10,0.043907374329334864,0.055943290592621625,0.33322329952898544,0.0009539141545707447,6.769798296574841e-77,5.967513462718396e-76,0.7382374613662778
CPI_sqrt,20640,33.30197334289551,1.0954682654002444e-17,0.25580753683959345,0.34854944411064614,0.2687631234153367,0.5001613543465357,0.4877580203180723,3.507320467038403e-06,9.137954502967312e-06,0.5000367690861789
CPI_n,20640,33.274505615234375,6.032747908046617e-55,3.178266629514596e-08,0.06208974321422085,0.043614607555230785,0.5034710509389161,0.03857174441097047,9.442052752508224e-72,1.330534308765656e-63,0.5078315975999079
CPI_bt,20640,94.37370228767395,0.0,0.0,5.883222715371011e-229,0.0,0.5197381514866392,0.0030424210086391432,0.0,0.0,0.494285475924453
CPI_sqd,20640,94.40666937828064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S-CPI,20640,33.30313777923584,9.4634149879558e-58,0.00010417842337194619,0.35719832130715734,0.2913204791339623,0.7005493972870305,2.853933922601054e-06,1.1372279872427379e-46,2.7923990318395897e-42,0.6202663195026809
S-CPI_sqrt,20640,33.280768632888794,4.2942021689278817e-16,0.2808388511190829,0.4409010166288715,0.3917801702408824,0.5000931276383671,0.4771009999297789,1.656156563405035e-05,4.8110844012716764e-05,0.5004804347785358
S-CPI_n,20640,33.27116537094116,2.42468587424169e-55,0.0001460664423520066,0.31872610919879185,0.31623591233967235,0.519685615128307,0.0131943905213689,6.539661741363442e-43,3.5051230537597345e-36,0.5173652875127135
S-CPI_bt,20640,95.02301120758057,0.0,0.0,1.4960074836771089e-55,1.566053675899828e-70,0.5123515555514797,6.025684548718929e-06,0.0,0.0,0.5135632463579831
S-CPI_sqd,20640,95.07777976989746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931942072494077
S-CPI2,20640,33.98027038574219,1.6398145135383134e-49,0.00042528737298285163,0.3541849207637526,0.361420240726987,0.7653049382100798,5.851160863396437e-06,5.1503876324986254e-42,3.563264851048593e-36,0.7064809790846537
S-CPI2_sqrt,20640,34.00514101982117,2.9675623209916952e-15,0.30903059030242286,0.458701343794653,0.4343119801990203,0.5002318576379905,0.47620088958901496,2.637664981246514e-05,5.7453188305365896e-05,0.5002272920113584
S-CPI2_n,20640,33.97920250892639,8.04660166792209e-48,0.0007580806486168671,0.363557553588684,0.35009503050751334,0.5172053971576555,0.01313104223010987,3.742749640864484e-40,7.435568314889826e-35,0.5211414169451517
S-CPI2_bt,20640,95.16088581085205,0.0,0.0,4.323939135321219e-30,6.803903356362927e-41,0.5159490224646478,1.3571381040994769e-06,0.0,0.0,0.5186005320998452
S-CPI2_sqd,20640,95.96871304512024,0.0,0.0,0.0,2.561878373493507e-141,1.0,0.0,0.0,0.0,1.0
LOCO,20640,33.428441286087036,4.354967993306526e-46,0.0004751510739563142,0.37137201938538533,0.37031616498950404,0.7056917245040548,5.907501118119149e-06,8.420243402690911e-43,2.153964213128094e-37,0.7298179653960006
LOCO_sqrt,20640,33.23791718482971,1.1377238823057628e-14,0.29954738445064194,0.4541263433192738,0.436261527091404,0.5002300475393289,0.4756244043405377,2.438696651874103e-05,5.3331800673281794e-05,0.5002773774652999
LOCO_n,20640,33.19881629943848,3.857803415103702e-45,0.0009781360267146896,0.374222660422125,0.3719836736168781,0.5167126345031368,0.010491040990614098,1.854977035058131e-40,1.9997153068752928e-35,0.5200486735117776
