method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO-W,569,3.0995562076568604,0.11340118518143794,0.2807590227504154,0.3705618540466452,0.6660984576012093,0.18201453416982982,0.6167320976793973,0.6730304448449547,0.310211936357787,0.6963938967116468,0.7053821931222541,0.2571538916968832,0.16796137072761574,0.5599799961730227,0.3738971941781517,0.09467149308830458,0.2934193387939801,0.12382225785022793,0.3277462895160397,0.9554742785636379,0.9856763359581479,0.0003252926229716513,0.5250506872412348,0.9868443145186406,0.32260260007500097,0.607348887417692,0.8667986731877853,0.4088905410963365,0.019418172741790474,0.3765077620492219,0.7842343583103977,0.8977265956595452
CPI,569,4.266339540481567,0.07685093449692683,0.19081431004376165,0.31716790349940405,0.16805605491147718,1.0,1.0,1.0,1.0,1.0,1.0,0.06608973838512937,0.6671935940055359,1.0,0.8516234002274927,1.0,1.0,1.0,1.0,1.0,1.0,0.011827148048833194,0.26554082546565233,0.035330244319864854,0.6128478623992633,0.25364016824066815,1.0,0.48952077956459966,0.03511991978506471,0.11986119796627864,1.0,0.11341839156630612
CPI_sqrt,569,4.254235744476318,0.49840618960454836,0.49954554911499904,0.5002961685676887,0.4948814452654547,0.5,0.5,0.5,0.5,0.5,0.5,0.500816358399328,0.5069492097059127,0.5,0.5014012582998097,0.5,0.5,0.5,0.5,0.5,0.5,0.42892849080147727,0.49399052505065355,0.49633140277061893,0.4791539573647581,0.4969169300504861,0.5,0.4929517222076595,0.49261529813411037,0.5063264023073574,0.5,0.4951384892785916
CPI_n,569,4.262556076049805,0.4862422066931619,0.5061152570206767,0.5023656280430348,0.47276760836702686,0.5,0.5,0.5,0.5,0.5,0.5,0.4790714019858457,0.515866088362667,0.5,0.5663807757185734,0.5,0.5,0.5,0.5,0.5,0.5,0.06099414596917603,0.4483351043837379,0.44052957098574713,0.3924181975152441,0.46135262356931567,0.5,0.4136805353412395,0.486915556021089,0.5041061494683488,0.5,0.5086120116791512
CPI_bt,569,4.537561893463135,0.46102316513306063,0.48987265126063284,0.5007582793231797,0.39801825232158367,0.5,0.5,0.5,0.5,0.5,0.5,0.5044433602004949,0.49553788161341056,0.5,0.5249173292618456,0.5,0.5,0.5,0.5,0.5,0.5,0.0037691766010310703,0.45886045692743,0.4377618508051898,0.3367674886847499,0.46046235551727893,0.5,0.5019192401336142,0.3685595437486992,0.396940869778729,0.5,0.44688959469006545
CPI_sqd,569,4.5498011112213135,1.9629037016864554e-05,0.010139714687898342,0.08930234503281836,1.980512928716221e-175,0.5,0.5,0.5,0.5,0.5,0.5,9.751512039517961e-17,1.0182061590525455e-10,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8.878915525237508e-182,0.9998355114304704,0.0,1.6838494256253888e-47,0.5,0.0,0.0,1.6507596947479375e-41,0.5,1.0
S-CPI,569,4.3192102909088135,0.18749679699547372,0.6223182710927563,0.4817867807248122,0.022093977180295345,0.5,0.5,0.5,0.5,0.5,0.5,0.128632219111401,0.864126331772873,0.5,0.9321006582957162,0.5,0.5,0.5,0.5,0.5,0.5,0.04207969738416684,0.2895715793813291,0.27304902320746127,0.14970836213388933,0.013481231638991386,0.5,0.7019273054942774,0.015662155935204786,0.33959072644569765,0.5,0.37073332820960136
S-CPI_sqrt,569,4.330160617828369,0.4965872203584869,0.4999014451282274,0.4998658824151268,0.4925305286553829,0.5,0.5,0.5,0.5,0.5,0.5,0.499076527485562,0.507663891430619,0.5,0.5047312987762218,0.5,0.5,0.5,0.5,0.5,0.5,0.42440697272016664,0.49477307475750865,0.49716202823837735,0.47982424984994076,0.4981024907619627,0.5,0.5066942773973097,0.4884516494426824,0.4927626619109632,0.5,0.4986936510873553
S-CPI_n,569,4.316001653671265,0.46067076923344863,0.4952314773142645,0.5024354932681314,0.416875571861173,0.5,0.5,0.5,0.5,0.5,0.5,0.48826497111145145,0.5777541367845922,0.5,0.5541386972597614,0.5,0.5,0.5,0.5,0.5,0.5,0.16168591682973504,0.4549605939287371,0.45344484935441187,0.3215936597664054,0.46714858476959215,0.5,0.5203608528201806,0.3693070252003501,0.44117712071732496,0.5,0.4841838685176472
S-CPI_bt,569,4.632224798202515,0.45907890727947864,0.49615263689693634,0.5006275331116147,0.39195459751035877,0.5,0.5,0.5,0.5,0.5,0.5,0.47347160425198476,0.5861531352112396,0.5,0.5647289960141142,0.5,0.5,0.5,0.5,0.5,0.5,0.0004117042965436908,0.4783467007736563,0.48027749833228167,0.24369160738995171,0.47334318691123783,0.5,0.48388915314538816,0.32600641064338287,0.4697198816887958,0.5,0.4827497805285241
S-CPI_sqd,569,4.635310411453247,7.962689105521962e-77,0.004919071598460745,0.43875855889619736,4.3286769394532224e-288,0.5,0.5,0.5,0.5,0.5,0.5,9.555667543008764e-09,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,8.186188980896927e-34,0.0,3.413761161772057e-87,0.5,1.0,0.0,1.4052851207976807e-67,0.5,0.01687774901440853
