method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,30.815453052520752,0.586129838311914,0.8007578335859433,0.3460836778312346,0.03231261157373777,0.8081031611962226,0.03136698934060511,0.3710237386077919,0.9480814600713435,0.008238407364425826,0.4663276856906293,0.9259258343075076
CPI,442,3.060573101043701,0.3539894808331582,0.00983376215935699,0.005691122400734818,0.12625965193503597,0.3100182449285287,0.05251416083682507,0.027667824769317905,0.5237887128518581,0.024088081642888476,0.5065356599768998,0.049828075092829834
CPI_sqrt,442,3.052333116531372,0.393313932657163,0.0011629589407605668,0.0015580273541227214,0.067405406259938,0.3835493269163721,0.5515352562577887,0.04238513663843272,0.37971468245076445,0.7270333629721437,0.4102005940685536,0.34383171453620853
CPI_n,442,3.0515174865722656,0.3259915684098494,0.13669809267675048,3.0030203343527305e-07,0.07346935977482118,0.3530897948968235,0.6361075198104025,0.2035820912816817,0.3177890273090213,0.04593722716429029,0.148713040160589,0.48845015029284156
CPI_bt,442,3.1277239322662354,0.5250332817458558,0.49825778186504793,0.4953112297093021,0.49596100411775085,0.2788086704227264,0.49724503628857236,0.492674496343312,0.4957123039818641,0.49283548781948977,0.4975049018743611,0.49181398440794133
CPI_sqd,442,3.1227054595947266,0.5391741636072007,0.49495241098352155,0.4918672727558697,0.49465666446685336,0.5357529292063242,0.5032765193117538,0.48310976006447814,0.5045237035313385,0.4925360603531105,0.49828265308042435,0.49511991409348394
S-CPI,442,3.09142804145813,0.5734533176786254,0.1692746435232897,0.003294994752273095,0.0923640696759011,0.07190657752348634,0.3611288550213996,0.004896467078418398,0.5850069642166774,0.4059758147301324,0.60075030940184,0.5619998357110036
S-CPI_sqrt,442,3.0921339988708496,0.5642737947705043,0.17000951783618046,0.01083181847431921,0.1472965567315912,0.4020371761943521,0.42609640399680115,0.023200608988674962,0.7428044714624144,0.08534060071357796,0.8199610356254137,0.47438940645798333
S-CPI_n,442,3.0907602310180664,0.5658238767671646,0.05634009315471227,0.017696211899226655,0.16826741132222311,0.19529479283921675,0.39428508973292287,0.03529813747698088,0.5269029032627074,0.17596257640230178,0.735510667972987,0.46489435883684976
S-CPI_bt,442,3.163335084915161,0.4999623197802838,0.4957941078923506,0.4959440869297764,0.4946552468013314,0.4003299575711637,0.49516827983899864,0.48857731024193884,0.505601839623346,0.49441680643596814,0.5135346113334391,0.5006769256639572
S-CPI_sqd,442,3.1647047996520996,0.5313341365860278,0.4971392122562016,0.49615462077910943,0.4973696130479154,0.3497230307378981,0.49160155534550853,0.4913378971697326,0.5037248151075873,0.49306934988058004,0.5024004172405102,0.49888827793764073
S-CPI2,442,3.487870693206787,0.64991969351146,0.24594812708197855,0.012145850306905303,0.17521298774907662,0.1142578200996614,0.45966932774540076,0.04695899779556453,0.6250945196733794,0.1714374361611261,0.8871176875587625,0.5238430694835412
S-CPI2_sqrt,442,3.487769365310669,0.5581684140792061,0.21520079893610916,0.013079032775504327,0.17668532036463924,0.3615787354791768,0.5141449026427468,0.043628003448683075,0.5808621992640525,0.15497665588514448,0.8134189376795488,0.502777390348907
S-CPI2_n,442,3.487852096557617,0.6235958553554012,0.20616629874614273,0.007796128638194995,0.17948756241107133,0.11475973911367959,0.4860752859403116,0.023189273482905875,0.6422171831252954,0.17838146291047208,0.8858235928284668,0.5588212551912071
S-CPI2_bt,442,3.5604865550994873,0.5072359583958713,0.4970916645348132,0.49604347651979686,0.49689014990473684,0.26025464905653,0.49862294995859985,0.4861006200500592,0.5017174654228141,0.4974805790597232,0.5060549157390131,0.5001430182204522
S-CPI2_sqd,442,3.559905767440796,0.5092522638503267,0.4968599964980339,0.4970829958935427,0.49674745090697753,0.3174114981026722,0.4984300994929704,0.4890755595747867,0.5026977927446148,0.4967984445027808,0.5070527114829799,0.5000146890027634
