method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
LOCO-W,20640,2.8260529041290283,0.0,0.5518375664978357,0.9561140928027334,0.11266520988881212,0.0,0.6152182237639915,1.0769163338864018e-14,5.1243700949221704e-08,0.0
CPI,20640,32.339086055755615,6.537637118338998e-204,2.6886006146005815e-10,1.0,1.0,0.13042518643934908,1.0,1.0,1.0,1.0
CPI_sqrt,20640,31.913823127746582,9.136830315847525e-27,0.21070881272856395,0.5,0.5,0.499999856122477,0.5,0.5,0.5,0.5
CPI_n,20640,31.971949577331543,4.658624359393747e-199,2.5752239423401748e-08,0.5,0.5,0.49825695181518814,0.5,0.5,0.5,0.5
CPI_bt,20640,92.59235191345215,0.0,0.0,0.5,0.5,0.4998003075914446,0.5,0.5,0.5,0.5
CPI_sqd,20640,93.4867331981659,0.0,0.0,0.5,0.5,3.5785360149327615e-75,0.5,0.5,0.5,0.5
S-CPI,20640,32.04913258552551,8.621544731890159e-207,3.6380457097652745e-05,0.5,0.5,0.14072829886939775,0.5,0.5,0.5,0.5
S-CPI_sqrt,20640,32.05567169189453,4.521982394896633e-37,0.2779672950375408,0.5,0.5,0.4999822980652756,0.5,0.5,0.5,0.5
S-CPI_n,20640,31.980708837509155,8.475755267593616e-200,0.0002188954013281128,0.5,0.5,0.4984065354980133,0.5,0.5,0.5,0.5
S-CPI_bt,20640,92.20333933830261,0.0,0.0,0.5,0.5,0.49814929833176846,0.5,0.5,0.5,0.5
S-CPI_sqd,20640,92.23770952224731,0.0,0.0,0.5,0.5,7.924995686658945e-83,0.5,0.5,0.5,0.5
S-CPI2,20640,32.70829391479492,4.910278055388479e-205,0.00014507422441605133,0.946391057126468,0.946391057126468,0.21063435842689843,0.946391057126468,0.946391057126468,0.946391057126468,0.946391057126468
S-CPI2_sqrt,20640,32.6712110042572,8.965097109378517e-40,0.28864182402244576,0.500000000000003,0.500000000000003,0.49998436294346305,0.500000000000003,0.500000000000003,0.500000000000003,0.500000000000003
S-CPI2_n,20640,32.72763228416443,5.29156642678215e-199,0.0005597582712552004,0.5000000000002334,0.5000000000002334,0.49836402529894824,0.5000000000002334,0.5000000000002334,0.5000000000002334,0.5000000000002334
S-CPI2_bt,20640,92.9608108997345,0.0,0.0,0.5000000000002334,0.5000000000002334,0.4985840192419947,0.5000000000002334,0.5000000000002334,0.5000000000002334,0.5000000000002334
S-CPI2_sqd,20640,94.45822286605835,0.0,0.0,0.5000000014452133,0.5000000014452133,1.8074224961845526e-53,0.5000000014452133,0.5000000014452133,0.5000000014452133,0.5000000014452133
LOCO,20640,31.596555471420288,4.1278787601863235e-253,4.896069989375083e-40,1.0,1.0,0.014896166011618842,1.0,1.0,1.0,1.0
LOCO_sqrt,20640,31.391476154327393,2.04518392107205e-77,0.008955077226374654,0.5,0.5,0.4996031752069662,1.0,0.5,0.5,0.5
LOCO_n,20640,31.38370704650879,6.3647035046052536e-248,5.6263731549114524e-36,0.5,0.5,0.46987523584955426,1.0,0.5,0.5,0.5
LOCO_bt,20640,91.30750489234924,0.0,0.0,0.5,0.5,0.46879174909786625,1.0,0.5,0.5,0.5
LOCO_sqd,20640,91.23219227790833,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5
S-CPI_ST,20640,31.95614528656006,7.655119058416103e-148,0.000132215891740728,1.0,1.0,0.010016180198037567,1.0,1.0,1.0,1.0
S-CPI_Wilcox,20640,32.06563186645508,3.304665418691828e-264,2.07396055910745e-06,,,0.3986497900449458,,,,
LOCO_ST,20640,31.422728538513184,3.6860589056564877e-270,2.0987502070191997e-12,1.0,1.0,2.8201310944849708e-14,1.0,1.0,1.0,1.0
LOCO_Wilcox,20640,31.422728538513184,0.0,1.278019350669165e-32,,,1.7814321856996247e-12,1.0,,,
Semi_KO_ST,20640,177.65800261497498,0.0,0.04278208714048166,8.456416690649693e-25,4.884730604167855e-31,0.24978250117653236,0.00017784798727542276,1.1999760264338356e-167,4.9298755674424085e-141,0.07095867506698175
Semi_KO_Wilcox,20640,177.61955976486206,0.0,0.00032891762119545165,3.2915809318168865e-34,4.3164378078411356e-66,0.06590672476311528,1.0606583703950298e-07,5.8236136437743596e-285,4.1052882563583704e-229,0.10831111542881294
dCRT,20640,2.1001839637756348,7.81783642478339e-229,2.8261523446991182e-12,1.6714140036195039e-09,4.263701843719222e-14,0.9752507570303636,0.010149464169559237,5.993047489545403e-73,1.9121667435334488e-71,0.9673321025844128
HRT,20640,1131.8810858726501,0.0,0.0,1.0,1.0,0.20596622369878184,1.0,1.0,1.0,1.0
Semi_KO_ST_perm5,20640,867.1221580505371,0.0,4.840253997186529e-11,2.394666120584979e-87,2.462121180249613e-132,0.7658650899295653,1.679040595860371e-19,0.0,0.0,0.40287360109801884
Semi_KO_Wilcox_perm5,20640,880.6493809223175,0.0,4.108875033610887e-11,1.2995759010216247e-151,6.521608213273488e-249,0.26345300627015117,8.977985429648187e-34,0.0,0.0,0.06890280622381535
Semi_KO_ST_perm10,20640,1749.4273138046265,0.0,4.90042283488632e-10,5.537266909455683e-145,9.891580593042589e-267,0.060355568998824924,3.1553777193141014e-27,0.0,0.0,0.07103139208468542
Semi_KO_Wilcox_perm10,20640,1755.8540754318237,0.0,9.657999652691335e-17,0.0,0.0,2.8849525076858842e-05,1.3511973738381262e-33,0.0,0.0,2.3505546377600156e-05
