method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,6.389557600021362,0.045251060719327385,0.008718914173355907,0.8082138570605983,0.05515334404671246,0.07392033968623857,0.1800098039188447,0.009760171615430302,0.8141064803857676,0.20021640603245972,0.15970539137241746,0.034267241472829446
CPI,442,1.349236011505127,0.4762337923285113,0.35694744961796754,0.000365649223175313,0.14776682374150685,0.22742401377005472,0.8923933493403842,0.6787310758906937,0.4106941902188125,2.035368104574202e-05,0.40044601841298133,0.9155878412439679
CPI_sqrt,442,1.3497824668884277,0.21114224541473525,0.5359607751569493,0.0012571440333271021,0.4757487695483117,0.48620518678932856,0.8904588506425944,0.267241965621548,0.6285572259615676,0.0004200197232481976,0.05722071161179993,0.8498535062298609
CPI_n,442,1.3480494022369385,0.7104125969286301,0.039481975158615866,0.056200756639982544,0.1668126219014327,0.5884290160514323,0.8833441706174895,0.3778188256555095,0.7660454858998684,0.0056217576948728795,0.3980863242237194,0.6362546621581961
CPI_bt,442,1.4210267066955566,0.4988744690566014,0.496864261663852,0.49678673023251746,0.49663507894096137,0.4991375411859804,0.5116958533315346,0.5048068524476566,0.5040013507108307,0.4909707510073151,0.49881305276353666,0.5187402875903395
CPI_sqd,442,1.4213404655456543,0.5008626610897431,0.4931739008797157,0.4938252968862913,0.4979605664409549,0.5119131585340795,0.5086002680689554,0.5029301656682829,0.4998934098353464,0.49556370264904687,0.4984159567905716,0.5119348345643114
S-CPI,442,1.4602150917053223,0.9733544125010223,0.3958618488120116,0.013931548817418442,0.3285187579453901,0.7555840466296815,0.859117917311282,0.862455300263999,0.8302770774847221,0.022589436440676097,0.5669934309581548,0.9877107936005762
S-CPI_sqrt,442,1.4562883377075195,0.9803453200510506,0.669615764738169,0.01345323810737514,0.538625781270961,0.8612003282556173,0.8846144687122547,0.851940352078099,0.7568468090052451,0.0035623241142492077,0.49223343305523587,0.9974214932679453
S-CPI_n,442,1.4559619426727295,0.9944427974429937,0.6132744548911254,0.0067854911686651975,0.48144285821866095,0.7329010854235928,0.9234538954643152,0.8715202084689886,0.8986193611608706,0.017003020220805593,0.528462897199803,0.9925057056435508
S-CPI_bt,442,1.5255615711212158,0.507017191757143,0.5010679920237486,0.49723383908649144,0.49882600171313396,0.5042033555574108,0.5057781495528886,0.5040752219770349,0.5031779791710564,0.4954098698915531,0.5000551585766942,0.5110841509039078
S-CPI_sqd,442,1.5246126651763916,0.5052448665582014,0.49913886949692243,0.4977694471722153,0.4993150355903225,0.5096648746325203,0.5079180775624214,0.5043619717475334,0.5043871144937263,0.49594539798718595,0.5009412516525726,0.515197047611114
S-CPI2,442,2.514719247817993,0.9851946884142508,0.45008595030524234,0.009342832832229728,0.39519572721786134,0.7736497609021542,0.942788976103099,0.902797527804879,0.7842053547990955,0.006387845246974639,0.5480801637265397,0.9989526935125254
S-CPI2_sqrt,442,2.5180044174194336,0.9750151755175552,0.48108806620523387,0.007118651736223555,0.39773496303959804,0.7765300101609871,0.9440441518157688,0.8901274732640361,0.8189502844494179,0.015475301483111055,0.5384688817894613,0.9983387336508064
S-CPI2_n,442,2.5163326263427734,0.9818548889327102,0.48469813762064057,0.007100389863509149,0.4396968259038674,0.8193036980407942,0.9330879517872861,0.9127030168368507,0.8364209427585387,0.008011242135129668,0.5380786074818441,0.9987800454124776
S-CPI2_bt,442,2.5875375270843506,0.5055060910537648,0.4998679523445235,0.4967364580358395,0.4992424761088919,0.5050761152762776,0.5102678015085372,0.5045847350765003,0.5024701673509361,0.49654076012768367,0.5001131776812271,0.5113112637820959
