method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11
LOCO-W,1599,16.373103380203247,0.001797148819584704,0.2817358663067129,0.23287634842654725,0.811885003618954,0.19446831857642088,0.9603309565599567,0.8551741312480092,0.8655329124224327,0.10731726452586043,0.3905304888172558,0.00991519657033868,0.8934205309145355
CPI,1599,4.330746412277222,0.02598437311369272,0.001111125230897579,0.26946049147844264,0.0010112270005133046,0.023221532387235958,0.1846123742932605,2.6015365287851173e-05,0.3508512637145413,0.10563366255917628,9.92159476770338e-06,6.099012321438562e-09,0.5000254026006594
CPI_sqrt,1599,4.309496641159058,0.42582866205898223,0.30183453195423976,0.478344897247762,0.42708863733861263,0.4198148892102587,0.4944853780625146,0.23218314699610387,0.4534900753795419,0.40576670559562417,0.1891148128479565,0.09796562935039393,0.4850105241094642
CPI_n,1599,4.29009485244751,0.05835334273041368,0.008598450059089451,0.436738301519582,0.0050717208667245255,0.14367668232250808,0.36351092628647896,0.002264427473738279,0.40728025281523916,0.22049389826964205,8.185678826542416e-05,1.079205265879554e-08,0.7712577378283817
CPI_bt,1599,4.962439775466919,0.0001414070589072561,8.33811537111848e-44,0.43424876919234856,4.83824986018658e-17,6.257063155840312e-14,5.27884186815793e-05,9.786224357645796e-42,0.023425877530995128,0.044549106292988444,2.8276883071349566e-147,6.84478347541861e-85,0.9333514247011236
CPI_sqd,1599,4.981509447097778,0.0,0.0,1.0478947083366675e-124,0.0,0.0,0.0,0.0,1.954995288922184e-05,0.0,0.0,0.0,1.0
S-CPI,1599,4.5800371170043945,0.031306981487443215,0.0005565292541009926,0.3753747400248123,0.012737633276285215,0.048610879142916966,0.3492882219695464,0.0018851028364707835,0.7172161935054491,0.12629152562932844,1.2881034680807768e-05,4.426883082458716e-06,0.9361216616728949
S-CPI_sqrt,1599,4.578600168228149,0.4354835094582827,0.30338471105201426,0.5207154465937989,0.39850552171493875,0.4006049087490433,0.43638881667633667,0.32479703739215743,0.49288247521311995,0.4647583063274049,0.1806793080205935,0.15636247005013781,0.548518711761147
S-CPI_n,1599,4.569825887680054,0.07335184743568424,0.0015437639565522513,0.48924616059009157,0.01189643051996213,0.1711043994546852,0.17870409874598203,0.01036940367880002,0.7338937593378428,0.3666368829906238,0.00034458312754537913,1.7546990255896384e-05,0.8227233811081607
S-CPI_bt,1599,5.238948822021484,8.502909766791289e-07,1.7047400946187923e-55,0.8083000564745031,5.822168562495744e-12,3.6007972017101634e-10,0.0087521222810707,1.8583001656294034e-62,0.880341849907747,0.02152889837135148,7.707442114270535e-157,7.026948117765486e-214,0.9874191323640805
S-CPI_sqd,1599,5.213106870651245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S-CPI2,1599,7.1808295249938965,0.02361946643321695,0.0006361087518413743,0.5618466716531345,0.015577019890183973,0.021821413007699676,0.24934439987862517,0.0003320332949868844,0.7891796465582722,0.25390088240423436,0.00017668163747687314,2.104781653443823e-06,0.9222029949738293
S-CPI2_sqrt,1599,7.195860147476196,0.4063402526688981,0.2703145168514852,0.5058178199602458,0.38596519543523755,0.40900001494822336,0.4606961763628705,0.26309809603587425,0.5442868270336992,0.4702352710973039,0.18428102864629486,0.12835460992585773,0.5478905218781839
S-CPI2_n,1599,7.224827766418457,0.07157460994678343,0.004293920318104344,0.5319182122090145,0.02979446316667215,0.07515244862542447,0.2916529828686927,0.0015254920970907936,0.6935067093499409,0.2728942698933896,0.0013260723300838049,3.114174844831349e-05,0.8312784270585005
S-CPI2_bt,1599,7.832150936126709,3.3530436701333516e-08,3.6828548414205976e-57,0.694925095831618,8.020105682778882e-13,9.93431038224864e-08,0.0015731586882805648,1.7857458234442208e-56,0.9953348976243742,0.053688684111518906,2.4884082547151657e-126,3.784213548990662e-191,0.9991037805628826
S-CPI2_sqd,1599,7.826892614364624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LOCO,1599,13.579178810119629,0.11781837945568802,0.030744108574256558,0.31604969672271277,0.6831983463441411,0.439118880887171,0.22463757188043088,0.0655862404361355,0.5977180998112417,0.617696474254583,0.024796590386410917,0.0007204885998652431,0.8349116575588138
LOCO_sqrt,1599,13.558191299438477,0.42575029740277226,0.32989706550039466,0.4692723748219452,0.5288805344389842,0.4888742891628621,0.4409617859012422,0.38100232892938524,0.5185915192521556,0.5247907812455933,0.2865165346168309,0.16663170811076272,0.5669212966416961
LOCO_n,1599,13.552123785018921,0.17011295106034102,0.051705656583838744,0.34945381012808063,0.64799849642202,0.4494176827338991,0.2619005404989296,0.10076202038775,0.5819114655154225,0.6006473371807829,0.03890610889362544,0.0019607266887983234,0.7879795531294269
LOCO_bt,1599,14.284051895141602,1.116035309086805e-06,8.103508817769943e-32,0.025452407322486412,0.9658887886404955,0.237492954401697,6.216801611820992e-05,1.7296986868678934e-15,0.8854619049157275,0.9481300167510276,6.1879438891209565e-52,6.458801749712367e-154,0.9999918288355218
LOCO_sqd,1599,14.230093479156494,0.0,0.0,0.0,1.0,1.9337175499226834e-67,0.0,0.0,1.0,1.0,0.0,0.0,1.0
S-CPI_ST,1599,4.292089462280273,0.9999268573468734,0.7235094811024281,0.9999268573468734,0.9998489122630151,0.8911162626128422,1.0,0.9991956301749846,0.9800658249296915,0.9999999984229141,0.005990283004496973,0.1269041609305049,0.9996978675066494
S-CPI_Wilcox,1599,4.287605285644531,0.0313916814256276,0.0005367187143575296,0.010716673478906475,0.016022347860689623,0.004067086094039529,0.3165501348318538,3.1095578631709413e-07,0.21460234434285974,0.05720088395658981,1.9460361567118972e-07,7.849755756638616e-08,0.12211203598479137
LOCO_ST,1599,13.58622431755066,0.40975313262405405,0.16890522203256075,0.24680143731752027,0.9544242660843578,0.7531985626824798,0.218908066316906,0.218908066316906,0.7810919336830939,0.9873925015957824,0.005990283004496973,0.06596061637910056,0.8070809379888868
LOCO_Wilcox,1599,13.58622431755066,0.27013876827973704,0.11038978876618588,0.1794132797452846,0.816160634643601,0.5620712943672883,0.40844819107265246,0.04923224132139283,0.5584394634113079,0.9854884429651177,0.0020874656557345736,0.002404366390293936,0.8014723387624267
Semi_KO_ST,1599,23.78544545173645,1.0,0.9332661808400453,1.0,1.0,0.9999999999816549,1.0,0.9999999999977277,1.0,1.0,0.8944282861397791,0.9744652301096364,0.9999999999992271
