method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
LOCO-W,20640,2.390758752822876,1.0388785255388555e-06,1.0,0.1651256384089128,1.0,0.0,0.9999999572158601,0.0,0.0,1.0
CPI,20640,34.11784052848816,1.3868318107395507e-48,2.9691202307741384e-07,0.034199706760241644,0.056826766753179735,0.8269167854155038,0.09156404565062992,1.262391045709351e-85,7.837716228129633e-76,0.7230398799769373
CPI_sqrt,20640,33.82489061355591,4.901061426545361e-18,0.3443978928441703,0.3707657367744667,0.3218051300653467,0.500000065672134,0.47890928339346195,1.4777265394129354e-06,2.104990015669392e-06,0.5000001408286193
CPI_n,20640,33.79274559020996,1.0615897343501899e-50,2.6429954057335982e-08,0.026208297768577086,0.0830900507889682,0.5000015964729033,0.13452290192468697,1.0027133205113936e-81,9.533747834113097e-65,0.500137028562483
CPI_bt,20640,99.89172124862671,0.0,0.0,2.3325855148799055e-265,0.0,0.4999996833373836,0.00021197623239177597,0.0,0.0,0.49995564000666237
CPI_sqd,20640,95.94937205314636,0.0,0.0,0.0,0.0,0.541915164391042,0.0,0.0,0.0,0.9999931870928511
S-CPI,20640,33.81991672515869,5.0797091655196686e-54,0.017584808076771,0.3359474301793905,0.3525661539210534,0.8289469429393015,0.16358578303269855,3.872844685258884e-44,3.949729212735508e-37,0.6775272859822512
S-CPI_sqrt,20640,33.84662342071533,2.257059206520961e-17,0.36472396796842443,0.45002781447804124,0.43246597602502806,0.5000002698900801,0.48233613254096924,1.1939470075909908e-05,1.9229038950389218e-05,0.5000033254703272
S-CPI_n,20640,33.82323694229126,5.59820157460799e-54,0.01895046625904453,0.2823661380682795,0.37903066961905046,0.5000150383983383,0.15687042860911615,2.411476669515767e-43,1.1359773946081506e-34,0.5001747917739953
S-CPI_bt,20640,94.950514793396,0.0,9.681682724490686e-133,1.240428259291583e-34,3.2799833325291104e-24,0.5000146766175048,0.0004584039644178352,0.0,0.0,0.5002114211142835
S-CPI_sqd,20640,94.79951882362366,0.0,0.0,0.0,3.912535598948619e-211,0.595124288955052,0.0,0.0,0.0,0.9962483853292269
S-CPI2,20640,34.537683725357056,3.657893583767518e-48,0.060273133196193845,0.3643462253926857,0.4237318691203529,0.8173520736437498,0.06850892072789336,1.4085943508831175e-40,1.5025427750936595e-35,0.8026111490840652
S-CPI2_sqrt,20640,34.49277400970459,4.4278737482466326e-16,0.37727879422035127,0.44516963802262,0.46312796144774365,0.5000001771359007,0.48168552558330324,1.53056178424032e-05,4.026833641422369e-05,0.5000018413863865
S-CPI2_n,20640,34.519346475601196,2.1295596423341542e-46,0.04777955736479061,0.34897078313315977,0.4289907180820207,0.5000133503642058,0.13559291260470496,3.3112042184148564e-40,2.5424305221956787e-33,0.5001325980864533
S-CPI2_bt,20640,95.53267431259155,0.0,6.065069477478087e-180,1.2274395133394277e-32,1.227851928663182e-08,0.500014258049393,0.00020932958375562602,0.0,0.0,0.50018443610291
S-CPI2_sqd,20640,101.62451148033142,0.0,0.0,0.0,2.1704471829506546e-47,0.6120787880442561,0.0,0.0,0.0,0.9990869874308039
LOCO,20640,34.09304141998291,1.0258940337991644e-45,0.05515886857371553,0.3536360664670185,0.43513983849507293,0.2824882886267529,0.062109234811201966,1.073290108676426e-42,6.7982061808136605e-37,0.36115573498745757
LOCO_sqrt,20640,33.9297993183136,1.263844133900547e-15,0.39032139044201897,0.4490509011102073,0.46832702947246485,0.4999731615862103,0.4830380784185149,1.5922456344430988e-05,3.518194031736568e-05,0.49998407002353495
LOCO_n,20640,33.92981767654419,7.446446929740698e-45,0.06601327238082746,0.3569880216710021,0.435990275030588,0.4979071225252154,0.14396627322886285,1.942176711118754e-40,4.85945661796031e-35,0.49875733166334624
LOCO_bt,20640,94.80337691307068,0.0,2.281530411031731e-140,4.641311820204164e-32,1.270183610398892e-09,0.4978878680001313,0.00029232932028494096,0.0,0.0,0.49874634311977756
LOCO_sqd,20640,94.84265899658203,0.0,0.0,0.0,1.6380772200491386e-31,5.77821226166162e-236,0.0,0.0,0.0,1.2893346537354135e-84
S-CPI_ST,20640,33.73655676841736,3.365454930135615e-156,0.00011972295465669647,5.596185252775596e-18,2.0907933227411507e-21,0.9047258170081982,6.418586189570998e-27,6.799998960983696e-63,3.525103663996703e-50,0.8762519900211583
S-CPI_Wilcox,20640,33.77897548675537,8.014780330195575e-245,1.2561215137703776e-09,1.1336958550968892e-21,1.0043493087321363e-35,0.9088592519471448,1.2746574611345583e-45,3.626406778492758e-108,1.0150802034430262e-92,0.7654437816537305
LOCO_ST,20640,33.9808554649353,1.8522253939110957e-137,0.9841348840379174,4.330723454426104e-26,2.5650117512247793e-32,0.9740781629371371,9.378293963567741e-47,3.8136282279158106e-35,3.409882082563134e-52,0.9997848078635561
LOCO_Wilcox,20640,33.9808554649353,7.270709405604152e-192,0.49651180106623566,2.621377369441726e-33,1.98374400523916e-38,0.9999182497994579,1.806490849264719e-70,1.1339044800931454e-61,2.1412440732002517e-61,0.9999979975030595
Semi_KO_ST,20640,185.80316472053528,0.0,6.658001648430785e-10,1.5151694692960551e-18,2.9122644090517797e-21,0.06370763078128296,0.10385864238392513,9.336509392058293e-151,3.696342547788923e-153,0.3665265768544837
Semi_KO_Wilcox,20640,184.98508191108704,0.0,1.6741317895540039e-10,2.7519516523526382e-33,4.376175417912519e-44,0.3509235587194388,0.3993056142807821,1.4270844975586638e-263,8.925161651819519e-256,0.8561576556706606
