method,n,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49,tr_V50,pval50,tr_V51,pval51,tr_V52,pval52,tr_V53,pval53,tr_V54,pval54,tr_V55,pval55,tr_V56,pval56,tr_V57,pval57,tr_V58,pval58,tr_V59,pval59,tr_V60,pval60,tr_V61,pval61,tr_V62,pval62,tr_V63,pval63,tr_V64,pval64,tr_V65,pval65,tr_V66,pval66,tr_V67,pval67,tr_V68,pval68,tr_V69,pval69,tr_V70,pval70,tr_V71,pval71,tr_V72,pval72,tr_V73,pval73,tr_V74,pval74,tr_V75,pval75,tr_V76,pval76,tr_V77,pval77,tr_V78,pval78,tr_V79,pval79,tr_V80,pval80,tr_V81,pval81,tr_V82,pval82,tr_V83,pval83,tr_V84,pval84,tr_V85,pval85,tr_V86,pval86,tr_V87,pval87,tr_V88,pval88,tr_V89,pval89,tr_V90,pval90,tr_V91,pval91,tr_V92,pval92,tr_V93,pval93,tr_V94,pval94,tr_V95,pval95,tr_V96,pval96,tr_V97,pval97,tr_V98,pval98,tr_V99,pval99,tr_time
LOCO-W,200,1.0,0.10342679312271952,1.0,1.9318250443767226e-08,1.0,0.5752823882017258,1.0,1.0516557569340002e-05,1.0,3.05541757450456e-08,0.0,0.9999999999959673,0.0,0.03448105679978053,0.0,0.6442559934765341,0.0,3.987366736790676e-08,0.0,0.14064879983587208,0.0,0.06233311850722134,0.0,0.9999999952109172,0.0,2.671773465801053e-07,0.0,0.9999991640420115,0.0,0.46100626695500935,0.0,0.5541948601605156,0.0,0.9913715386442313,0.0,0.9888412863316198,0.0,0.0934032866597605,0.0,0.7319594240216599,0.0,0.7099625656842392,0.0,0.9910848983552949,0.0,0.0034154465804333567,1.0,0.999999952369992,1.0,0.5511517198833515,1.0,3.318835663623787e-06,1.0,0.9999877508207696,1.0,0.9999999973188854,0.0,0.6531633497796285,0.0,0.0024733478042094914,0.0,0.9940823597585399,0.0,0.5187760145846454,0.0,3.393482828073502e-09,0.0,0.9999999977938492,0.0,0.8291387573211975,0.0,0.08171242794728784,0.0,0.8725100008583679,0.0,0.8947237989088312,0.0,0.15386612417627998,0.0,0.19391070837851698,0.0,0.9997916501412577,0.0,0.6146559108968629,0.0,0.9999999951079257,0.0,0.03829316487258072,0.0,2.2022352636819065e-05,0.0,0.40422782721564565,0.0,0.16764517630671227,1.0,0.029525769275065672,1.0,1.946586225543001e-10,1.0,0.0003963191736768845,1.0,1.6528494155565454e-06,1.0,0.9999994428835624,0.0,0.3566234605140758,0.0,0.9999999687988339,0.0,0.14391145118969273,0.0,0.07745892847052471,0.0,0.20009356361270936,0.0,0.2679260596173566,0.0,0.019915420668316974,0.0,0.04416059375300241,0.0,0.789553893886171,0.0,0.11267449156794462,0.0,0.18980045175919624,0.0,0.011568257940329785,0.0,3.3877945782023744e-08,0.0,0.9163365350067625,0.0,0.9001689262397243,0.0,0.9774747863371488,0.0,1.8541227437829377e-06,0.0,0.7145335705959595,1.0,0.47787832633174165,1.0,0.0026643062267810436,1.0,0.0026912896748790827,1.0,0.5771047654321969,1.0,3.4083846855992306e-14,0.0,0.6288829784250521,0.0,0.9726469501879053,0.0,0.8849691940075793,0.0,0.11530119496119595,0.0,0.9999998945532101,0.0,0.9999955207044965,0.0,0.08859099210032628,0.0,0.9991422227345356,0.0,0.022048789832765037,0.0,0.9999815468417798,0.0,1.4818828386609084e-09,0.0,0.9999999922314553,0.0,0.7139418315628188,0.0,9.948554121286257e-06,0.0,0.0963389639253579,0.0,7.244240884940467e-06,0.0,2.3019242068045287e-10,0.0,0.05668713462863906,0.0,0.07194671589665547,1.0,0.9780809131393041,1.0,0.8898810394767686,1.0,0.6681396588777243,1.0,0.010165023860702171,1.0,0.0018735421519187057,0.0,0.9995383545241712,37.47078585624695
LOCO-W,500,1.0,0.3734246953047766,1.0,0.05870984480543817,1.0,0.25171830307044973,1.0,0.1068728347535789,1.0,0.000597917661344094,0.0,0.619158402146014,0.0,0.3730468633004391,0.0,0.990485942752636,0.0,6.296068073563532e-07,0.0,0.9890731268568236,0.0,0.46205565998321796,0.0,0.7190429373749995,0.0,0.06254074080852068,0.0,0.010702378178202299,0.0,0.9990665915633747,0.0,0.9996534976196693,0.0,0.21469612722292397,0.0,0.6994858361129943,0.0,0.9979926096059897,0.0,0.8362647748460681,0.0,0.9996800373428373,0.0,0.4122898875395392,0.0,0.013075232299572859,1.0,0.20491956101115072,1.0,0.9858032872282854,1.0,0.13303034275756764,1.0,0.003834542515109396,1.0,0.695372121258146,0.0,0.9649288105379129,0.0,0.23069924493603566,0.0,0.7352610673561866,0.0,0.41656961169410045,0.0,0.9985389731487483,0.0,0.012347202369623944,0.0,0.9863069779066169,0.0,0.9999619947910138,0.0,0.8727459632961074,0.0,0.7023384788536775,0.0,0.34799348786899065,0.0,0.014648767672404639,0.0,7.1865868783715925e-06,0.0,0.9976110710369752,0.0,0.6233291079628149,0.0,8.216841280273002e-06,0.0,0.66422212368219,0.0,8.985701508923416e-05,0.0,0.4573527282748624,1.0,0.8689540142521635,1.0,0.14019774287746256,1.0,0.007909328749474254,1.0,0.9999860892282528,1.0,0.9999881056197608,0.0,0.9400245534794215,0.0,0.21063109749004083,0.0,0.27556204710922905,0.0,0.07032910807029336,0.0,0.3408357265094888,0.0,0.8722223736025208,0.0,0.05866078041244571,0.0,0.05964316220023791,0.0,0.7525859470309337,0.0,0.6527046879780609,0.0,0.1571426794665567,0.0,0.501685919519091,0.0,0.010156732799510904,0.0,0.0037824072166178224,0.0,0.00017309685829192123,0.0,0.14051180722071988,0.0,0.24494314314114773,0.0,0.03937296891030939,1.0,0.14357687539128206,1.0,0.12906619367882255,1.0,0.027989039685516026,1.0,0.002326975790685859,1.0,0.7491621417688203,0.0,0.000384973674337985,0.0,0.055520987682707745,0.0,0.6130248421356785,0.0,0.7157426788787682,0.0,0.09230076870416493,0.0,0.057595527887640774,0.0,0.38713617103334386,0.0,0.9791639271511142,0.0,0.0003041680417503745,0.0,0.06561572011143335,0.0,0.03738806305093423,0.0,0.5929023829499891,0.0,0.9070413544662739,0.0,0.8231786295290213,0.0,1.2756819637194106e-05,0.0,0.003243670928886555,0.0,0.8569339318502731,0.0,0.18084453291279567,0.0,0.005975392967088489,1.0,0.7255072923992376,1.0,0.5462157303925259,1.0,0.15440365804436063,1.0,0.9591002597279853,1.0,0.06097539538590446,0.0,0.3318851663648512,10.932774543762207
LOCO-W,1000,1.0,0.4774935824822071,1.0,0.04825622962400944,1.0,0.5691160676343066,1.0,0.009439162501127196,1.0,0.1769326006167532,0.0,0.8279604356028714,0.0,0.9770986187205376,0.0,0.2804519960968398,0.0,0.08900457248655891,0.0,0.009936301774302492,0.0,0.7929291725353269,0.0,0.5563706590132944,0.0,0.9687354855265741,0.0,0.5940462567218626,0.0,0.6273629698405625,0.0,0.027627279457573928,0.0,0.08535530102738176,0.0,0.015410420749179754,0.0,0.2296227060782633,0.0,0.6199167888151056,0.0,0.4103784326727188,0.0,0.7165342819401739,0.0,0.4424116384842325,1.0,0.5822160302898266,1.0,0.0013896940276111325,1.0,0.3920730861706463,1.0,0.6270708248889226,1.0,0.763824190598855,0.0,0.03127768921208396,0.0,0.8865605702779907,0.0,0.49188036907524746,0.0,0.9755126278386582,0.0,0.22370382712417924,0.0,0.683855817888173,0.0,0.9232409659121987,0.0,0.21895187448421338,0.0,0.8506977107104947,0.0,0.09050473829868366,0.0,0.04673315861528171,0.0,0.23387147313244483,0.0,0.0030815890297786197,0.0,0.5717778083950559,0.0,0.8205790097496902,0.0,0.49219194919758347,0.0,0.36792301317103293,0.0,0.9847562707596774,0.0,0.18638562452588603,1.0,0.030847706128151353,1.0,0.26456317521785855,1.0,0.8852750476406435,1.0,0.01952868825466647,1.0,0.6546880880393061,0.0,0.2135009611104821,0.0,0.4408727263826421,0.0,0.9737784017449957,0.0,0.8210489147927587,0.0,0.751053663928454,0.0,0.8659642704553052,0.0,0.8780889936908904,0.0,0.5308968766986873,0.0,0.72096116730418,0.0,0.20806936180776558,0.0,0.4219147340155418,0.0,0.5977931639736714,0.0,0.040635296213775374,0.0,0.9165620582140548,0.0,0.4842258904710296,0.0,0.5410507862242823,0.0,0.8073720477440945,0.0,0.9902395851476485,1.0,0.7264732491325981,1.0,0.26895929290167386,1.0,0.19762669390146126,1.0,0.28544618868799077,1.0,0.5832226850326198,0.0,0.3642992519698558,0.0,0.28798666718753974,0.0,0.5854355415678092,0.0,0.4216552360263136,0.0,0.6364763943551445,0.0,0.5576609801800105,0.0,0.8501781244896618,0.0,0.6619258109407045,0.0,0.8261216555396779,0.0,0.11531248419820583,0.0,0.014791672266061484,0.0,0.3999859775750032,0.0,0.9995463373386541,0.0,0.25922362149912637,0.0,0.8255918316406513,0.0,0.7741645529689478,0.0,0.8721971867854417,0.0,0.8801133536700984,0.0,0.5938076572927677,1.0,0.0377437758973268,1.0,0.004834112290294179,1.0,0.4648233075301972,1.0,0.7874502736883326,1.0,0.005227508152282567,0.0,0.37333687693257034,9.176288843154907
LOCO-W,5000,1.0,0.034949570170789035,1.0,0.19053048373359638,1.0,0.01994718557759556,1.0,0.07689754773937141,1.0,0.7260604457279758,0.0,0.4338829058518997,0.0,0.8316440319317266,0.0,0.4009204071758108,0.0,0.9161713658999178,0.0,0.3968019689664566,0.0,0.7917521890818626,0.0,0.9782003406131146,0.0,0.3570567014157012,0.0,0.7334769845702754,0.0,0.5771603350356451,0.0,0.3119544036734885,0.0,0.02187173083147298,0.0,0.15411778951087252,0.0,0.8984651357729225,0.0,0.4450277631347488,0.0,0.6882020711406539,0.0,0.46965996327113935,0.0,0.5731054551910661,1.0,0.298421886465997,1.0,0.11073124902771037,1.0,0.00011738184208476277,1.0,0.5141690168029567,1.0,0.08728548204108266,0.0,0.5690455206870741,0.0,0.23263071947196878,0.0,0.49188558494059853,0.0,0.031278323468934555,0.0,0.3506794082123843,0.0,0.9905417502168463,0.0,0.9962637286412737,0.0,0.35438092882390126,0.0,0.003082902537831278,0.0,0.04658517924996297,0.0,0.9470848347813939,0.0,0.12149964624103049,0.0,0.19256300932767745,0.0,0.6843407102279994,0.0,0.5724205723481344,0.0,0.6210909544824194,0.0,0.2579409135958345,0.0,0.16033550622502002,0.0,0.9139717912379681,1.0,0.28429094067709004,1.0,0.8557354313653885,1.0,0.5100654177834936,1.0,0.02241858799702867,1.0,0.0404553909440688,0.0,0.5851876416276837,0.0,0.08766854453336625,0.0,0.4787086007909638,0.0,0.2412238813373635,0.0,0.9791013757655055,0.0,0.2432641158376595,0.0,0.8954622763209082,0.0,0.23855311498679788,0.0,0.7451929272867652,0.0,0.15816733526797977,0.0,0.6304231395293914,0.0,0.5507869984396497,0.0,0.9397131656207771,0.0,0.39226844765034796,0.0,0.3076179585350962,0.0,0.6757910124831533,0.0,0.6660604557896821,0.0,0.5400064288629542,1.0,0.3096607394893013,1.0,0.310815571322711,1.0,0.5362587714584715,1.0,0.5000373371463476,1.0,0.11085404325332915,0.0,0.08709300998819469,0.0,0.03109429724665458,0.0,0.8204833235730228,0.0,0.3965988648549721,0.0,0.13757346368297463,0.0,0.9467659966743086,0.0,0.10131298093644292,0.0,0.4761590427691338,0.0,0.12534524664432167,0.0,0.9221158309171369,0.0,0.426866710577395,0.0,0.8777813058629249,0.0,0.4133689793532811,0.0,0.13526810218218988,0.0,0.552767902971383,0.0,0.3032443047364819,0.0,0.29909577410478416,0.0,0.47545008555420987,0.0,0.2875839516106058,1.0,0.035126516831497256,1.0,0.2537677218826816,1.0,0.4611983875831932,1.0,0.8263078857644199,1.0,0.0359500496038474,0.0,0.8307072177585466,12.481156826019287
CPI,200,1.0,0.6695203968638406,1.0,1.0,1.0,0.4470869080549401,1.0,0.1818923847548199,1.0,0.1096437589445689,0.0,0.15987783898310898,0.0,1.0,0.0,1.0,0.0,0.4916979869516247,0.0,0.560093209983223,0.0,0.8910694050744999,0.0,1.0,0.0,0.0046597561902365974,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8962742934322241,0.0,0.25866433601907435,0.0,0.49004952536200413,1.0,1.0,1.0,0.010997601080482654,1.0,0.37753585958196045,1.0,0.005726356070184661,1.0,0.24751255984236964,0.0,1.0,0.0,0.8882203864958782,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7263002804355534,0.0,0.6589439236644538,0.0,1.0,0.0,0.23060286828365167,0.0,0.1732190258329358,0.0,0.9783850857999039,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.056241601955656244,1.0,0.970359708395736,1.0,0.02011780872157579,1.0,0.3191459868697919,1.0,0.1499197070594932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6387848775726152,0.0,0.1337710081595918,0.0,0.5565220965344471,0.0,0.0028285870645762385,0.0,0.6086428674858333,0.0,0.377942257207444,0.0,1.0,0.0,0.2822629515229863,0.0,0.412532970793031,0.0,0.5102752492581643,0.0,1.0,0.0,0.07540227153941682,0.0,1.0,0.0,1.0,0.0,0.33747319020285615,1.0,0.3108440638450526,1.0,0.20713446106349276,1.0,0.013371530777380345,1.0,0.6006399239503861,1.0,0.020301867214631814,0.0,0.791262730340413,0.0,0.8621056899377425,0.0,0.2449714016398169,0.0,0.6962667373748446,0.0,0.5669147701199434,0.0,1.0,0.0,1.0,0.0,0.9742836678936411,0.0,0.19680699959537623,0.0,0.6375640619057014,0.0,0.2585523306794474,0.0,0.8448682631802784,0.0,1.0,0.0,0.8275807961808768,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6520009605913218,1.0,0.041278610074142075,1.0,0.1590201302243342,1.0,0.0818192581831016,1.0,0.08160883240074823,1.0,0.2611732490292248,0.0,0.23922043490232003,6.527038097381592
CPI,500,1.0,0.22186588151410153,1.0,0.06368549450553436,1.0,0.01857230030801246,1.0,0.000565909928321471,1.0,0.0366249461630293,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9623565131491907,0.0,0.27760466681041795,0.0,0.6557376954043721,0.0,1.0,0.0,1.0,0.0,0.17422689324816137,0.0,1.0,0.0,0.8174899331772294,0.0,0.2648637483232823,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.03522564062243469,1.0,0.00022479143407697373,1.0,0.05593173458945846,1.0,0.26637959805023437,1.0,0.18604013624623106,0.0,0.7003047098536709,0.0,1.0,0.0,0.20945596203737266,0.0,0.3263099201600176,0.0,0.131616761586776,0.0,0.6737250548273227,0.0,0.22091435176818197,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6081407792686263,0.0,0.8333652961289426,0.0,0.5537553713438844,0.0,0.1849480328518086,0.0,0.02511447733248484,0.0,1.0,0.0,1.0,0.0,0.38011494687050745,0.0,0.6296755301943611,1.0,0.03765288410817817,1.0,0.08943565597910091,1.0,0.13621101201500596,1.0,0.5857794248782757,1.0,0.005858336993801634,0.0,0.3083393064285554,0.0,0.12703460818171053,0.0,0.7793233643097693,0.0,1.0,0.0,1.0,0.0,0.31783962563318335,0.0,1.0,0.0,1.0,0.0,0.3531829470128768,0.0,0.16991110703096618,0.0,0.49173818942275804,0.0,1.0,0.0,0.9664602379966051,0.0,0.19012964985887226,0.0,1.0,0.0,0.5455307062365352,0.0,1.0,0.0,0.1944698541894342,1.0,0.01899301899311916,1.0,0.1288416413168832,1.0,0.06883486264933125,1.0,0.14904910462357635,1.0,0.2631509629070111,0.0,0.2966166817810766,0.0,1.0,0.0,1.0,0.0,0.19182038250100053,0.0,0.3239121373404943,0.0,0.4766828359787248,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.30986671926759757,0.0,1.0,0.0,0.863344527408864,0.0,1.0,0.0,0.009512880624595483,0.0,1.0,0.0,0.05600294334921368,0.0,1.0,0.0,0.7327546277717195,1.0,0.0038562437021899786,1.0,0.431945460516043,1.0,0.031113133640289857,1.0,0.054567809558548536,1.0,0.23202389373853977,0.0,1.0,9.900164604187012
CPI,1000,1.0,1.3940564650649353e-05,1.0,0.19987105707061992,1.0,0.11603143408014316,1.0,0.00021465365284384285,1.0,0.0017768954338413015,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.745648653734993,0.0,1.0,0.0,1.0,0.0,0.7979744968601585,0.0,1.0,0.0,0.3196223514862515,0.0,1.0,0.0,1.0,0.0,0.6804671702822481,0.0,1.0,0.0,0.31864304202222365,0.0,0.9662223039166417,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.14883465111723837,1.0,0.008151369995298413,1.0,0.0457157759486939,1.0,0.0014421686269569887,1.0,0.06326888697237294,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3662225064535992,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05315813170597067,0.0,1.0,0.0,0.4194276999642562,0.0,1.0,0.0,1.0,0.0,0.9896306902156844,1.0,0.000695141994428219,1.0,0.0003529064515548733,1.0,0.08562777207702987,1.0,0.06451632831031494,1.0,0.06266641513862184,0.0,1.0,0.0,1.0,0.0,0.730406522459438,0.0,1.0,0.0,0.19194381309807224,0.0,0.6845361904957578,0.0,1.0,0.0,0.35070871053806774,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6207546697473705,0.0,1.0,0.0,0.4560247396199767,0.0,1.0,0.0,1.0,1.0,7.392833011823727e-06,1.0,0.007470894961823996,1.0,0.005765781127386004,1.0,0.5284245043809745,1.0,0.0044803234959452775,0.0,0.8804873573412191,0.0,1.0,0.0,0.7154099115911924,0.0,1.0,0.0,1.0,0.0,0.7282526488727261,0.0,0.8034546648449612,0.0,1.0,0.0,0.7027833914474338,0.0,0.5564830931232014,0.0,0.38593095105256225,0.0,1.0,0.0,1.0,0.0,0.20807177191510717,0.0,1.0,0.0,0.05095172547488503,0.0,1.0,0.0,0.7144010956720728,0.0,0.3395522675089435,1.0,0.0211609098190886,1.0,0.011224084638780319,1.0,0.1315287098418083,1.0,5.866832573996791e-07,1.0,0.08251939295989424,0.0,0.5068171220938364,20.668947219848633
CPI,5000,1.0,1.2071916070499968e-06,1.0,2.9162912863669273e-08,1.0,1.2936459656900898e-05,1.0,4.952831226110691e-07,1.0,1.4634959412219631e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5378098581976407,1.0,4.805270070333932e-05,1.0,6.971978891559827e-06,1.0,6.421915113126145e-08,1.0,1.0363516601175432e-09,1.0,0.0005832920344409712,0.0,0.8037666013966218,0.0,0.17700724243223365,0.0,1.0,0.0,1.0,0.0,0.8775461827011748,0.0,1.0,0.0,0.7671811930049421,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.36518263289752284,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0003648283189769245,1.0,2.8825227540216356e-07,1.0,1.1525066916748923e-07,1.0,1.0923615439202774e-06,1.0,2.6409643718303237e-07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.065661646837056e-08,1.0,3.284802057932936e-09,1.0,5.915673994471099e-06,1.0,6.188230892450441e-10,1.0,4.601257592325988e-08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8998081058201177,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5583897330313188,0.0,1.0,0.0,0.39385547814933597,1.0,0.004082454071645974,1.0,3.981661341052586e-08,1.0,0.00019804243796039356,1.0,5.638976751738636e-11,1.0,0.0016383429515802934,0.0,1.0,78.84694766998291
CPI_sqrt,200,1.0,0.5849182419816717,1.0,0.5,1.0,0.48003438845211743,1.0,0.3293369113391358,1.0,0.28864724907255346,0.0,0.46882537943421315,0.0,0.5,0.0,0.5,0.0,0.4985502783826561,0.0,0.5176358396935816,0.0,0.5302594725997177,0.0,0.5,0.0,0.4059221702461925,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5395184112019211,0.0,0.47880338660159133,0.0,0.49564230692121414,1.0,0.5,1.0,0.3206702223589626,1.0,0.46817958297759,1.0,0.28911405127218925,1.0,0.3932237552311398,0.0,0.5,0.0,0.5613053578377717,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5033763657709593,0.0,0.5106662736659738,0.0,0.5,0.0,0.49262694965823745,0.0,0.4037914153992026,0.0,0.6101934185999869,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.3174598042370615,1.0,0.7596545023484828,1.0,0.17335899236644925,1.0,0.4300665113221995,1.0,0.3542511476351506,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5028597236131106,0.0,0.3486369568731462,0.0,0.5072831608886983,0.0,0.485597412020226,0.0,0.5020501716381606,0.0,0.4915351096692849,0.0,0.5,0.0,0.4822663336496906,0.0,0.47293668344658313,0.0,0.5026149199875497,0.0,0.5,0.0,0.4778983631562205,0.0,0.5,0.0,0.5,0.0,0.4673014710279305,1.0,0.4050108394723585,1.0,0.4262712285245134,1.0,0.2858081341540122,1.0,0.533457671997096,1.0,0.2440813033130369,0.0,0.519378719237641,0.0,0.6070845944483011,0.0,0.4736217913958931,0.0,0.5329649242102442,0.0,0.5081734501595842,0.0,0.5,0.0,0.5,0.0,0.5113568352129426,0.0,0.4541560816525191,0.0,0.5185138992587235,0.0,0.4750551687195325,0.0,0.5010026532112575,0.0,0.5,0.0,0.5059423306274589,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5063881341904036,1.0,0.38341669422509045,1.0,0.32553679422754833,1.0,0.4807325194861708,1.0,0.23260267454125422,1.0,0.433282086506279,0.0,0.46468872688781104,6.549726486206055
CPI_sqrt,500,1.0,0.38476557896847663,1.0,0.2944128117374354,1.0,0.287366441286822,1.0,0.17007593234542573,1.0,0.2966930931617787,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5123462851509106,0.0,0.49050526341987116,0.0,0.5003385527162918,0.0,0.5,0.0,0.5,0.0,0.47149109353694557,0.0,0.5,0.0,0.5707182984913611,0.0,0.48897678037161796,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.28536876384831195,1.0,0.12692474772052537,1.0,0.32033625325644194,1.0,0.43920017200778166,1.0,0.4148237901970127,0.0,0.5156458325135007,0.0,0.5,0.0,0.4769496550078516,0.0,0.48967505300927827,0.0,0.4940273127685892,0.0,0.5024843056451487,0.0,0.493835491421553,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5090975785249563,0.0,0.5320965440983308,0.0,0.5043084501478587,0.0,0.43626901223985615,0.0,0.35672594816395153,0.0,0.5,0.0,0.5,0.0,0.4963523234407604,0.0,0.5073024521637565,1.0,0.3507362131537508,1.0,0.2949221737964932,1.0,0.3716508002901091,1.0,0.5265146004294053,1.0,0.25066449893747056,0.0,0.49986757470411824,0.0,0.47585662399897216,0.0,0.5330292298378708,0.0,0.5,0.0,0.5,0.0,0.4765289398356507,0.0,0.5,0.0,0.5,0.0,0.4979774448354695,0.0,0.498829777306794,0.0,0.49972712408143827,0.0,0.5,0.0,0.5095833726426969,0.0,0.4750730093609337,0.0,0.5,0.0,0.5060543325568891,0.0,0.5,0.0,0.4804964375498459,1.0,0.2515350275767315,1.0,0.3636236771124196,1.0,0.33252345325005883,1.0,0.3990959485509402,1.0,0.451655683000131,0.0,0.4844412541082743,0.0,0.5,0.0,0.5,0.0,0.4782352757576476,0.0,0.4984201327712629,0.0,0.49978974793723674,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48416244933258284,0.0,0.5,0.0,0.520096043497827,0.0,0.5,0.0,0.3528117524715339,0.0,0.5,0.0,0.4634227211858102,0.0,0.5,0.0,0.504018416292913,1.0,0.22547155653428902,1.0,0.4814422357641629,1.0,0.21774727370303187,1.0,0.36005650662761457,1.0,0.4013494401512448,0.0,0.5,9.859342098236084
