method,n,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49,tr_time
LOCO-W,200,0.0,0.6671107586519701,1.0,0.43183933936113783,0.0,3.3306690738754696e-16,0.0,0.19570208798909705,0.0,0.3981818773845127,0.0,0.7958517383852676,0.0,0.9203876029142639,0.0,0.25000239552130776,0.0,0.8312162262107126,0.0,0.1644252428403714,1.0,0.9302059418331703,0.0,0.06976365453792677,0.0,0.10042599893070259,1.0,0.9883564091960381,0.0,0.5434257926187126,1.0,0.8753500826441525,0.0,0.028566349447548878,0.0,0.9963011971899316,0.0,0.9998857084473385,0.0,0.8465028232342855,1.0,0.8864783705804089,0.0,0.8608868705800783,1.0,0.35975054494926584,0.0,0.817168995962648,0.0,0.9603807650993206,0.0,0.794606160336491,0.0,0.07059872709079751,1.0,0.6314364890812494,0.0,0.0005335377948455511,0.0,0.8319427041031328,1.0,0.21127390936404344,0.0,0.8467760261573957,1.0,0.8671539928480675,0.0,0.7621648752199723,0.0,0.8151086317221901,0.0,0.8360815600255564,1.0,0.6551009978775932,0.0,0.955396039392035,0.0,0.06459746678383349,0.0,0.6504136019186548,0.0,0.18140525469497104,0.0,0.7104974247766055,1.0,0.8565333520784263,0.0,0.9094660066903502,0.0,0.12187727897496647,0.0,0.9209788311536371,1.0,0.1181985158049168,0.0,0.973511886980146,0.0,0.5670886073542114,0.0,0.9441556295077307,141.60027837753296
LOCO-W,500,0.0,0.8798742703493136,1.0,0.36797637417745777,0.0,0.28474894390602556,0.0,0.5557626446764086,0.0,0.19712142244049158,0.0,0.6654931161584658,0.0,0.3462947845377098,0.0,0.49440723802471354,0.0,0.495667590843039,0.0,0.14423192288256848,1.0,0.40040363205687124,0.0,0.19647640898930163,0.0,0.5692939596165912,1.0,0.45360175185541174,0.0,0.5473008795463097,1.0,0.6510178087214644,0.0,0.6588486624589984,0.0,0.8995919424126986,0.0,0.3010199833937939,0.0,0.9977081771086125,1.0,0.32331928221404815,0.0,0.5148314415360615,1.0,0.48977846289196203,0.0,0.30124177946991626,0.0,0.8382317587142271,0.0,0.366464956017597,0.0,0.5942410117390864,1.0,0.3348880809231123,0.0,0.9591401022983387,0.0,0.3968908137313031,1.0,0.27978867235051463,0.0,0.955464271741141,1.0,0.08308868291644567,0.0,0.24970318709112194,0.0,0.1290678152869651,0.0,0.635413805482173,1.0,0.4307238119948993,0.0,0.6491597338031755,0.0,0.579596987762215,0.0,0.4909578236215052,0.0,0.3099318152820738,0.0,0.999693781241464,1.0,0.9155693441667561,0.0,0.22378609619526935,0.0,0.4492080382107082,0.0,0.9976134531625565,1.0,0.24057437259867243,0.0,0.5892852182521282,0.0,0.5770329282035571,0.0,0.5838897058053066,292.62237763404846
LOCO-W,1000,0.0,0.9594306141605088,1.0,0.798764294812348,0.0,0.9894327858270223,0.0,0.6264777826863368,0.0,0.9727276851657805,0.0,0.2752615690934661,0.0,0.043055730972606954,0.0,0.3826497212316894,0.0,0.01006623866736045,0.0,0.20929222548680304,1.0,0.3843742154020484,0.0,0.36278556505229353,0.0,0.8614840575570706,1.0,0.1274050525568855,0.0,0.9285755770238193,1.0,0.0005340283563611825,0.0,0.9209487253955722,0.0,0.3210409277050692,0.0,1.0,0.0,5.662137425588298e-15,1.0,0.5513792334953187,0.0,0.35207076888252287,1.0,0.7939566333207524,0.0,0.34207245741612224,0.0,0.0005606100760893185,0.0,0.9852256845425406,0.0,0.9841430782735233,1.0,0.3717278405084157,0.0,0.5828545840441188,0.0,0.9998770161362416,1.0,0.06954910255103708,0.0,0.0071136058775053135,1.0,0.6358184542583867,0.0,0.11726944515104298,0.0,0.448995784016463,0.0,0.8760207051443809,1.0,0.28517137770314993,0.0,0.40953633950549395,0.0,0.21600998607291855,0.0,0.8651028041055575,0.0,0.9866889434437217,0.0,0.037958039307975144,1.0,0.8060179685159621,0.0,0.002285807271408591,0.0,0.0019856759947176617,0.0,0.1141768370271482,1.0,0.4717804924077047,0.0,0.6278939622650433,0.0,0.3462405536102152,0.0,0.44530054158922106,578.2332382202148
LOCO-W,5000,0.0,0.023454530750710578,1.0,0.998403243362804,0.0,3.6868883348861736e-05,0.0,0.7599437753105077,0.0,0.9986126706398208,0.0,0.999999999995829,0.0,0.6796972768848966,0.0,0.5453505947293393,0.0,0.3519537707291067,0.0,0.05094676536655929,1.0,0.0632278528210819,0.0,0.24649388837569042,0.0,0.0,1.0,0.43100205511387835,0.0,0.8589777248936463,1.0,1.0,0.0,1.0,0.0,0.5788252785938043,0.0,5.8121063517546645e-11,0.0,0.983270737759507,1.0,0.9968062594273438,0.0,0.0,1.0,0.9999999999527405,0.0,0.4979658810268346,0.0,0.9999985279911042,0.0,2.039922675223238e-10,0.0,1.0,1.0,0.3712739582890783,0.0,3.799696224326965e-09,0.0,5.218048215738236e-15,1.0,2.661541143034185e-08,0.0,1.6767089938696245e-09,1.0,1.546077060443629e-05,0.0,0.9684967483360073,0.0,2.513256269764952e-11,0.0,1.0,1.0,0.7855009405130287,0.0,0.5575014630185051,0.0,0.9999980484322141,0.0,0.062342263705605805,0.0,0.0004422390701148693,0.0,0.9992121828988745,1.0,0.7919200768458612,0.0,1.0,0.0,0.9998691648982221,0.0,0.9999997919304191,1.0,0.05393569865124759,0.0,0.9999999854710818,0.0,0.5819121291862652,0.0,0.9886806410811252,3055.7609481811523
CPI,200,0.0,0.14106487503324255,1.0,0.04136049278806221,0.0,0.9544682948620408,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8727135257547731,0.0,1.0,0.0,1.0,1.0,0.8433781132993436,0.0,0.09087917658749561,0.0,1.0,1.0,0.9562136011081401,0.0,0.1566218867006372,1.0,0.3185814386315977,0.0,1.0,0.0,0.8433781132993381,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1566218867006483,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15662188670065413,0.0,0.37015584746072905,1.0,0.9350546609461293,0.0,1.0,0.0,1.0,1.0,0.737277405915966,0.0,0.8398737959354351,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5383352373263688,0.0,0.2945083504745354,0.0,1.0,0.0,1.0,0.0,0.1566218867006326,1.0,0.2714246329162819,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9484701339799076,0.0,1.0,0.0,0.15662188670065474,0.0,1.0,4.508495807647705
CPI,500,0.0,0.1578459872997816,1.0,0.06880946208718525,0.0,0.8421540127002802,0.0,0.8421540127005573,0.0,0.5413228674862247,0.0,0.2940104813895149,0.0,1.0,0.0,0.8998982639507074,0.0,0.5832078754511856,0.0,0.8421540127006955,1.0,0.8483558127619117,0.0,0.7847931961035879,0.0,0.8289933182524551,1.0,0.03257374129206064,0.0,0.51625536785642,1.0,0.5394359636271151,0.0,0.9628175171717571,0.0,1.0,0.0,0.15784598729871602,0.0,0.8421540127005439,1.0,0.270856866754297,0.0,0.596544214859326,1.0,0.44481507598427533,0.0,0.8583463239470592,0.0,1.0,0.0,0.8421540127043352,0.0,1.0,1.0,0.15873989461819094,0.0,1.0,0.0,0.8962001904858931,1.0,0.39980169336873156,0.0,0.15784598730049992,1.0,0.15784598729957988,0.0,0.1578459872991439,0.0,1.0,0.0,0.1578459873001949,1.0,0.46078549688092846,0.0,0.8581974005556581,0.0,0.15784598730107802,0.0,0.1578459873000821,0.0,0.41052760394185406,0.0,0.8775764779847399,1.0,0.9631838184004294,0.0,0.842154012701213,0.0,0.8637295654137673,0.0,0.13725588541712863,1.0,0.4601155699381126,0.0,1.0,0.0,0.15784598729931337,0.0,0.5368772825111353,9.27295708656311
CPI,1000,0.0,0.9465894677702225,1.0,0.8428446983781046,0.0,0.1582512961278063,0.0,0.8369021961114829,0.0,0.09238779714168494,0.0,0.8417487038718053,0.0,0.8145533129324243,0.0,0.1582512961278642,0.0,0.15825129612767835,0.0,0.07679727976744016,1.0,0.7164005843645448,0.0,0.14813128034942996,0.0,0.18999042296261232,1.0,0.26876885666632766,0.0,0.03856605145569915,1.0,1.0,0.0,0.158251296127855,0.0,0.0695115041273674,0.0,0.1258762823195277,0.0,1.0,1.0,0.8458754461764448,0.0,0.44891746238133307,1.0,0.12586997890760615,0.0,1.0,0.0,0.1582512961276663,0.0,0.9072547088616227,0.0,0.6190047473602642,1.0,0.30624688468894584,0.0,0.8542490055746036,0.0,0.8417487038665994,1.0,0.332488134489927,0.0,1.0,1.0,0.8676583704045893,0.0,0.8417487038712113,0.0,0.15825129612684108,0.0,1.0,1.0,0.6999035556153712,0.0,0.9142189173372481,0.0,0.14518164969736053,0.0,0.1764148363413442,0.0,0.8417487038720111,0.0,0.14914944662142776,1.0,0.5563744892087503,0.0,0.9831406330915565,0.0,0.1608621950297247,0.0,1.0,1.0,1.0,0.0,0.49628236329885594,0.0,0.803483233458558,0.0,1.0,20.59349274635315
CPI,5000,0.0,0.9008251266161732,1.0,0.02033185725239845,0.0,0.47648392082940216,0.0,1.0,0.0,0.1044256983021386,0.0,0.06293732916365481,0.0,0.7924900930280424,0.0,0.9169615831796389,0.0,0.22627623868366636,0.0,0.6686875352990154,1.0,0.18868447384360593,0.0,0.3215917305166529,0.0,0.3720748089279804,1.0,0.0605974024525014,0.0,0.06689073705689379,1.0,0.1321030503972725,0.0,0.35823558355510293,0.0,0.08828908376087458,0.0,0.6924289669830286,0.0,0.3159777646944534,1.0,0.9287231165605287,0.0,0.4839756672234388,1.0,0.04273420433246539,0.0,0.0041457723126197684,0.0,0.841425429871453,0.0,0.1606065150590265,0.0,0.1016804896700858,1.0,0.24826947069420985,0.0,0.4576635515426636,0.0,0.6056719697458584,1.0,0.424276413357823,0.0,0.5826216731562303,1.0,0.10442047329560733,0.0,0.107739150109247,0.0,0.8414254298711064,0.0,1.0,1.0,0.12775584994951705,0.0,0.8631360203917597,0.0,0.5681336948483623,0.0,0.3315618457131622,0.0,0.007951019861751531,0.0,0.060872086648391534,1.0,0.27432327885357927,0.0,0.4465496467649655,0.0,0.8692963773614509,0.0,0.4907401839187996,1.0,0.21297514770612608,0.0,0.9178908208851897,0.0,0.6566028294069033,0.0,0.8696546561914841,77.12334108352661
CPI_sqrt,200,0.0,0.47040107344055,1.0,0.43183240769474784,0.0,0.552009713457249,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5341717697819887,0.0,0.5,0.0,0.5,1.0,0.5254191805472039,0.0,0.16454228407690458,0.0,0.5,1.0,0.5894785522099695,0.0,0.4957756888105141,1.0,0.457232692975959,0.0,0.5,0.0,0.5211336090286894,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4709269819580843,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.217998001396372,0.0,0.43439467753608146,1.0,0.918280771725025,0.0,0.5,0.0,0.5,1.0,0.6038129470417261,0.0,0.5399935441064958,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5023865012448833,0.0,0.47223439216399665,0.0,0.5,0.0,0.5,0.0,0.47390109538431885,1.0,0.35316129652967204,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5708629053261526,0.0,0.5,0.0,0.4634034778777895,0.0,0.5,4.4808149337768555
CPI_sqrt,500,0.0,0.49932531665151164,1.0,0.21846729729399883,0.0,0.5010233831594141,0.0,0.5009075935361271,0.0,0.5039983427902447,0.0,0.49896699324289984,0.0,0.5,0.0,0.5066253098983459,0.0,0.5280119787824636,0.0,0.5351152704368811,1.0,0.5421216165937346,0.0,0.5015901524766646,0.0,0.5795836983794839,1.0,0.17882002562215643,0.0,0.5005552243228054,1.0,0.5037855644261751,0.0,0.5989640398354571,0.0,0.5,0.0,0.4981417118615404,0.0,0.5048155416036665,1.0,0.42759581709209143,0.0,0.503214680392664,1.0,0.4691979097652863,0.0,0.606059771930763,0.0,0.5,0.0,0.5004084584303224,0.0,0.5,1.0,0.4203756926770912,0.0,0.5,0.0,0.5079006934295222,1.0,0.48889685937595145,0.0,0.4987030557931734,1.0,0.49764839384737447,0.0,0.49252868141390566,0.0,0.5,0.0,0.4980176921376854,1.0,0.4852725256869466,0.0,0.5284842970658941,0.0,0.4992292566933094,0.0,0.49880774048050186,0.0,0.49960252237676644,0.0,0.5017050009245604,1.0,0.6812158361838581,0.0,0.5018864012022058,0.0,0.5090032695914063,0.0,0.2756033867786212,1.0,0.4951486066049182,0.0,0.5,0.0,0.4852458138573837,0.0,0.5067314389675494,9.259667873382568
CPI_sqrt,1000,0.0,0.5279530111449667,1.0,0.7596474787562723,0.0,0.49947654288920945,0.0,0.618223213185586,0.0,0.42576872612334365,0.0,0.5084608994592587,0.0,0.5612816933680342,0.0,0.45142615093899574,0.0,0.4915644619735827,0.0,0.40331244351302226,1.0,0.5013224240292047,0.0,0.30209699179752003,0.0,0.48554001408191166,1.0,0.48693153019406094,0.0,0.15431147685309166,1.0,0.5,0.0,0.48180467302938224,0.0,0.3886329625186575,0.0,0.2982968271282339,0.0,0.5,1.0,0.6911086341308057,0.0,0.4902324298391149,1.0,0.3410117145462138,0.0,0.5,0.0,0.4907069862816297,0.0,0.5154664058342006,0.0,0.5383437288623464,1.0,0.46549081677750576,0.0,0.5180725482040993,0.0,0.5004674344639986,1.0,0.3653929716176675,0.0,0.5,1.0,0.5350290956528845,0.0,0.5010479930879851,0.0,0.4991540724060588,0.0,0.5,1.0,0.6676069523384563,0.0,0.5321919599512286,0.0,0.49082998326633664,0.0,0.4935096159548016,0.0,0.5279966180107539,0.0,0.4481004769607014,1.0,0.5228561489559399,0.0,0.5850069559300324,0.0,0.4746779108394823,0.0,0.5,1.0,0.5,0.0,0.4997235832812971,0.0,0.5168641064954957,0.0,0.5,20.818338871002197
