method,n,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49,tr_time
LOCO-W,200,0.0,0.9099946092507027,0.0,0.046127297828514324,0.0,1.6264767310758543e-13,0.0,0.9999998348960368,1.0,0.9999999998147172,0.0,0.1798704416648882,1.0,1.8883117292034513e-11,1.0,0.23243159346636943,0.0,0.17984349440501513,0.0,0.5630291984509717,0.0,0.9964751165698201,1.0,1.0,1.0,0.04092448790389325,0.0,0.6353765573699071,0.0,1.0,0.0,0.7257792389605336,0.0,0.0036771859533084594,0.0,3.992797621443778e-05,1.0,1.887823231072616e-12,0.0,0.002373761237461358,0.0,0.0,0.0,1.0178071174760106e-07,1.0,0.0,0.0,0.9862016078731628,0.0,0.7056589498391633,1.0,0.0,0.0,0.2768129444951828,0.0,0.9999999981304254,1.0,0.0008446848201916213,0.0,0.9954372097052241,0.0,3.479438526188261e-07,1.0,0.22558543436550926,0.0,0.08145347818341997,0.0,0.26095784509331765,0.0,0.3342080522950899,0.0,0.9996839807084321,0.0,6.883656977763053e-10,0.0,0.10003755869680386,0.0,0.001672446417534279,0.0,0.520016668668475,0.0,0.8680484473723538,1.0,0.9998305813306051,0.0,0.9999999999999574,0.0,0.003012875175416818,0.0,0.9999999999586026,0.0,1.6979861960919607e-11,0.0,0.9999999999645753,0.0,6.70171126371244e-08,1.0,0.01467813270305085,0.0,0.0011519810887242743,87.33664846420288
LOCO-W,500,0.0,0.4010384365201536,0.0,0.03047895400149514,0.0,0.7081559719808923,0.0,0.4509537308568745,1.0,0.48894435167254413,0.0,0.4138146921483149,1.0,0.11427912930261597,1.0,0.27514572335384946,0.0,0.3564571500206758,0.0,0.7448778042215809,0.0,0.015887982490242036,1.0,0.5630298177632984,1.0,0.5508819499474062,0.0,0.584516703868565,0.0,0.3971967121498071,0.0,0.9972122359437833,0.0,0.008667853444346396,0.0,0.4194522523956312,1.0,0.687893187423428,0.0,0.5135558173452097,0.0,0.5653089412873069,0.0,0.7758036039760461,1.0,0.4165293298044346,0.0,0.0017457191875085432,0.0,0.45469671102903153,1.0,0.6232898828931986,0.0,0.6542105286465032,0.0,0.7873861221136829,1.0,0.0004228836841783101,0.0,0.720711972598044,0.0,0.5584791121086949,1.0,7.520748264155941e-06,0.0,0.6256078071931896,0.0,0.13080409113908875,0.0,0.46142435104514945,0.0,0.8145630113344435,0.0,0.0002844648248958581,0.0,0.39189092939898007,0.0,0.33529141275757457,0.0,0.6248065068185448,0.0,0.0010084654879672916,1.0,0.5033120092076396,0.0,0.9981544631678618,0.0,0.8448981362146566,0.0,0.32950037303027413,0.0,0.5851299903296443,0.0,0.786435780020664,0.0,0.007288866057592935,1.0,0.4000226742480504,0.0,0.7594249927204403,184.47821927070618
LOCO-W,1000,0.0,0.4086479082326542,0.0,0.9527528779883165,0.0,0.9726144828369523,0.0,0.33849096057786154,1.0,0.33304460960966,0.0,0.15913918381876302,1.0,0.6719021059000928,1.0,0.3093333704717097,0.0,0.9362090997678285,0.0,0.773264282026537,0.0,0.4987575250133077,1.0,0.030804918435598405,1.0,0.4016553963546754,0.0,0.6988606780677303,0.0,0.32623077139945533,0.0,0.44236046543502183,0.0,0.56168422130411,0.0,0.41119860579222156,1.0,0.4813728292904994,0.0,1.0,0.0,0.7039544081197364,0.0,0.4164734299565298,1.0,0.7430061018833743,0.0,0.29234611386410636,0.0,0.9661242957623979,1.0,0.582916767797573,0.0,0.9672222238994044,0.0,0.5833305399822766,1.0,0.497894094939351,0.0,0.3179697992697015,0.0,0.4774620586965559,1.0,0.7011588747847827,0.0,0.5151214026723432,0.0,0.17195488278896343,0.0,0.41656600566849233,0.0,0.7396904512993716,0.0,0.4090853091577106,0.0,0.4984946603414211,0.0,0.6211765355588201,0.0,0.6613705761584222,0.0,0.19316136314552634,1.0,0.5377577741984856,0.0,0.4696565863343255,0.0,0.6049965203511636,0.0,0.7547650138612021,0.0,0.6916294497831917,0.0,0.9812208928648503,0.0,0.5518538399985249,1.0,0.506457691332027,0.0,0.5511019963434101,328.3389847278595
LOCO-W,5000,0.0,0.21695495563935063,0.0,0.13604706919019494,0.0,0.9999999562289893,0.0,0.0,1.0,0.4894716940856245,0.0,0.3101290482053556,1.0,0.9999999999999987,1.0,0.0,0.0,1.0,0.0,0.9999999822605046,0.0,0.9999999760274674,1.0,0.8342591557671379,1.0,0.0,0.0,0.9667165650846044,0.0,2.2358597862037755e-08,0.0,0.0939551771562751,0.0,7.278622149442526e-13,0.0,0.6141229086047417,1.0,0.8596692642386657,0.0,0.48519052872857726,0.0,3.854452312879175e-10,0.0,0.9999737351406905,1.0,8.923861649634546e-12,0.0,0.8396068379068167,0.0,1.0,1.0,1.3766110695812017e-08,0.0,0.9999999995416265,0.0,9.444989235163348e-11,1.0,0.0,0.0,0.335308324406312,0.0,0.5409652841181882,1.0,0.7091963177050995,0.0,3.7554404030970545e-12,0.0,0.9999884312398003,0.0,0.9999999998428052,0.0,0.9999981486057907,0.0,0.9999999999584017,0.0,0.9874043298990615,0.0,0.999999999999949,0.0,3.2690366758014733e-07,0.0,0.9999999650610906,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.833946092689293,0.0,1.0,0.0,0.9998421724635657,0.0,0.6343421950617826,1.0,0.915200896254599,0.0,0.9999997171358422,1763.182250738144
CPI,200,0.0,0.7294809526024303,0.0,1.0,0.0,0.21425306879157857,0.0,0.9358346377837734,1.0,0.9140504795499057,0.0,0.29445627774691246,1.0,0.16357248280610193,1.0,0.0902592875550764,0.0,0.14561358950315295,0.0,0.10912935165421211,0.0,0.2769114161085523,1.0,0.3364601341977095,1.0,0.7286303029668576,0.0,0.5285236234772063,0.0,0.42080470621460264,0.0,0.33219968900880026,0.0,0.7007219987403714,0.0,0.7471646668859244,1.0,0.7915907579994033,0.0,0.3004654180210675,0.0,0.055901814904086425,0.0,0.8136660900764257,1.0,0.7984223339554355,0.0,0.935559209096512,0.0,0.8198365610574654,1.0,0.6305048366541236,0.0,1.0,0.0,0.26073805114827164,1.0,0.14052786053783506,0.0,0.2572270385651943,0.0,0.6443838656554657,1.0,0.1590271584342816,0.0,0.7818076324473116,0.0,0.24827103062712474,0.0,0.09716274783028334,0.0,0.22790504378420567,0.0,0.7330737697134453,0.0,0.88668858494657,0.0,0.46455451627731,0.0,0.2621952526161613,0.0,0.187264283050118,1.0,0.1874597126559136,0.0,0.3203504925623451,0.0,0.3889461219279305,0.0,0.019264699284185123,0.0,0.22595632981204095,0.0,0.2655326043387617,0.0,0.07925375204093676,1.0,0.9315591408264965,0.0,0.43654712092741516,2.3674657344818115
CPI,500,0.0,0.354877878683458,0.0,1.0,0.0,0.8421540127006406,0.0,0.7151726445095009,1.0,0.8776404939165774,0.0,1.0,1.0,0.10221390817868437,1.0,0.37619337130994374,0.0,0.8421540127006639,0.0,0.9128330840519305,0.0,0.7742325846388081,1.0,1.0,1.0,0.26791498085222826,0.0,0.9864350669980674,0.0,1.0,0.0,0.563259810733272,0.0,1.0,0.0,1.0,1.0,0.654329052773728,0.0,0.5474842984110458,0.0,0.2065297866948131,0.0,0.15784598729939991,1.0,0.536831385745773,0.0,0.8906678486509916,0.0,0.8421540127006276,1.0,0.7161058273054931,0.0,1.0,0.0,0.05240656073838825,1.0,0.907912368937333,0.0,0.8038532005483754,0.0,0.8421540127006888,1.0,0.3257565390353029,0.0,1.0,0.0,0.8421540127006824,0.0,0.8871610761995421,0.0,0.8421540127006766,0.0,0.1578459872992083,0.0,0.8421540127006295,0.0,0.15784598729924465,0.0,0.6118107832587869,0.0,0.15784598729931404,1.0,0.19606079246160846,0.0,0.7846384820922652,0.0,1.0,0.0,0.23009370349400865,0.0,1.0,0.0,1.0,0.0,0.15784598729918636,1.0,1.0,0.0,0.15784598730003646,5.083765983581543
CPI,1000,0.0,0.3350766983058429,0.0,0.8417487038720485,0.0,1.0,0.0,1.0,1.0,0.8417487038713363,0.0,1.0,1.0,0.31977646042181596,1.0,0.5826518735520664,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.13876773392811198,1.0,0.0870786942944044,0.0,0.15825129612771327,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1548054299679027,0.0,1.0,1.0,0.14541224270706687,0.0,1.0,0.0,1.0,1.0,0.009227393817287087,0.0,1.0,0.0,0.08990694196838223,1.0,0.18567650376748202,0.0,1.0,0.0,0.9181371091811565,1.0,0.8188891372797296,0.0,1.0,0.0,0.8417487038719675,0.0,1.0,0.0,0.3320095214835403,0.0,1.0,0.0,1.0,0.0,0.17252978859250456,0.0,0.064818278229355,0.0,0.35019469815793414,1.0,0.20362383415119262,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.41789522815599817,0.0,0.24605566451154226,8.596885919570923
CPI,5000,0.0,0.7557418079184504,0.0,0.8367122487789003,0.0,0.6102509744965993,0.0,0.829851054132136,1.0,0.5234909156492511,0.0,0.23566442959290468,1.0,0.021623243307782005,1.0,0.11433455767148892,0.0,0.3122518080485269,0.0,0.9587639873763621,0.0,0.12232544857722577,1.0,0.8686145457431242,1.0,0.045795448689319,0.0,0.009496909329042808,0.0,0.35886844076063723,0.0,0.16863168757183744,0.0,0.9150454905999932,0.0,0.399379965130677,1.0,0.48895572998710274,0.0,0.28338265312293687,0.0,0.8414254298716387,0.0,0.06598890497516118,1.0,0.31383023525350506,0.0,0.3206659617353096,0.0,0.9652920441296713,1.0,0.01731266378944496,0.0,0.8000403491704512,0.0,0.5407757192915374,1.0,0.0038111409314687747,0.0,0.0345719536519359,0.0,0.6040839890028078,1.0,0.13492659201687263,0.0,0.3350346699718677,0.0,0.46349602995197087,0.0,0.26049618470636193,0.0,0.8970819490468842,0.0,0.42787767490661377,0.0,0.7170735621928997,0.0,0.22675792954239976,0.0,0.4654843515129241,0.0,0.35269884033679044,1.0,0.01312029351370868,0.0,0.13983753334598525,0.0,0.8991384798539068,0.0,0.09286490971814726,0.0,0.6348084649607307,0.0,0.15857457012572818,0.0,0.17775607311319724,1.0,0.03839838636455834,0.0,0.2970386288075104,48.671566009521484
CPI_sqrt,200,0.0,0.596801546593828,0.0,0.5,0.0,0.4640100499002114,0.0,0.5622844959934725,1.0,0.6153087846043924,0.0,0.34527034575804744,1.0,0.21742876331958894,1.0,0.15568486239009044,0.0,0.38651067515727977,0.0,0.4567598050636781,0.0,0.4511263092160187,1.0,0.466300871778517,1.0,0.6798122278810407,0.0,0.5020119419133705,0.0,0.48900967190089395,0.0,0.46054866129769206,0.0,0.6215438507473048,0.0,0.6582629791169721,1.0,0.7038913359601658,0.0,0.43998923343009716,0.0,0.30238537937965915,0.0,0.6659547775733281,1.0,0.7013353695434306,0.0,0.661744537163076,0.0,0.711762969819645,1.0,0.5983636868860607,0.0,0.5,0.0,0.32685075874811287,1.0,0.2000646237643185,0.0,0.44460268640812634,0.0,0.5318191569013416,1.0,0.4359706955306531,0.0,0.6778557618462266,0.0,0.46053116398379745,0.0,0.4965208549436025,0.0,0.48697607726542314,0.0,0.5235577400585778,0.0,0.5553230719782626,0.0,0.4766233103810603,0.0,0.3611851638856429,0.0,0.42977080091966335,1.0,0.2137232396396897,0.0,0.3689625530440774,0.0,0.4625584670684048,0.0,0.11256954386755375,0.0,0.4650491886635699,0.0,0.42544531491944226,0.0,0.31922673677675306,1.0,0.7491077611202634,0.0,0.4626463820188277,2.3554770946502686
CPI_sqrt,500,0.0,0.49735451183712326,0.0,0.5,0.0,0.5293028113370668,0.0,0.5386482100066271,1.0,0.6721352566327949,0.0,0.5,1.0,0.27670730660906695,1.0,0.49515922594671685,0.0,0.5226103552713244,0.0,0.639004692289321,0.0,0.7115183143937266,1.0,0.5,1.0,0.43520804016049774,0.0,0.8172959226319407,0.0,0.5,0.0,0.5046329871795936,0.0,0.5,0.0,0.5,1.0,0.5134461992473555,0.0,0.5126482135076864,0.0,0.2976590369775135,0.0,0.4997113675541309,1.0,0.5012527786032379,0.0,0.5162072841590536,0.0,0.5144061246613729,1.0,0.6762288672292044,0.0,0.5,0.0,0.44041611593578534,1.0,0.7342204706256826,0.0,0.5089816458925233,0.0,0.5452304064909419,1.0,0.4634636164608317,0.0,0.5,0.0,0.5262649103312721,0.0,0.5254025365344628,0.0,0.5398079600158102,0.0,0.4883196387176342,0.0,0.5142683628770367,0.0,0.48570261277337856,0.0,0.5052839105430412,0.0,0.44890429922674385,1.0,0.371114972064582,0.0,0.5434726520516843,0.0,0.5,0.0,0.3886960158026999,0.0,0.5,0.0,0.5,0.0,0.4924797843634444,1.0,0.5,0.0,0.4990847423397891,5.258808851242065
